Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,team_avg_min,team_avg_pull,team_avg_blk,AST/POS %,GLS/POS %,SCR/POS %,CMP/POS,PM/PP,TY/POS,RY/POS,Y/POS,HA/POS %,T/POS %,Y/CMP,BLK/PP %,Pull/Team Pull %,BLK/Team avg BLK %,SCR/POS %_adj,BLK/PP %_adj,PM/PP_adj,Y/POS_adj,HA/POS %_adj,CMP/POS_adj,AST/POS %_adj,GLS/POS %_adj,T/POS %_adj,TY/POS_adj,RY/POS_adj,Y/CMP_adj,MP_adj,DPP_adj,Pull/Team Pull %_adj,Hck_adj,SCR_Z,BLK_Z,PM_Z,Y_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,YperCMP_Z,MP_Z,DPP_Z,Pull_Z,Offensive_Value,Defensive_Value,Score,team_avg_scr
Andrew Roy,14.0,237.0,270.0,31.0,23.0,8.0,2.0,24.0,564.0,98.26,4812.0,3739.0,1073.0,62.59,29.0,9.0,1.0,0.0,0.0,2.0,100.00,0.0,230.0,7.0,262.0,breeze,2023.0,208.0,11.0,6.0,8.52,2.96,11.48,2.09,0.1,14.0,4.0,18.0,10.74,3.33,8.53,0.84,0.0,33.33,11.57,0.92,0.1,17.71,10.54,2.05,8.43,3.1,3.39,13.68,4.07,8.8,259.39,9.54,3.61,2.07,0.48,-0.8,0.37,1.87,2.2,3.17,1.11,-0.34,0.19,0.13,2.86,1.52,-1.14,0.91,-1.06,-0.39,1.55,-0.54,2.1,0.466
Walker Frankenberg,12.0,270.0,337.0,65.0,23.0,42.0,2.0,57.0,291.0,95.72,4758.0,1825.0,2933.0,53.71,29.0,9.0,0.0,1.0,0.0,3.0,60.00,0.0,261.0,9.0,269.0,spiders,2023.0,181.0,12.0,5.0,6.82,12.46,19.29,0.86,0.21,5.0,9.0,14.0,8.61,2.67,16.35,0.74,0.0,40.0,19.14,0.81,0.2,13.88,8.51,0.86,6.8,12.3,2.74,5.0,8.91,16.34,266.69,10.99,2.91,3.03,2.39,-0.8,2.67,1.83,2.2,1.15,1.11,3.06,0.19,2.24,0.95,0.46,0.02,1.0,-1.03,-0.39,1.55,-0.54,2.1,0.08
Quinn Finer,13.0,299.0,352.0,64.0,35.0,29.0,3.0,47.0,403.0,95.05,5961.0,2720.0,3241.0,55.68,35.0,16.0,0.0,4.0,0.0,24.0,77.42,0.0,266.0,33.0,330.0,apex,2023.0,196.0,14.0,6.0,9.94,8.24,18.18,1.14,0.16,8.0,9.0,17.0,9.94,4.55,14.79,1.0,0.0,50.0,18.06,1.06,0.16,16.81,9.8,1.14,9.83,8.21,4.56,7.92,8.92,14.82,326.1,34.24,2.79,23.45,2.33,-0.56,1.97,2.59,2.87,1.98,2.21,1.76,1.19,2.59,1.84,0.69,-0.21,1.77,-0.67,-0.39,1.44,-0.4,2.01,0.182
Travis Carpenter,12.0,246.0,280.0,46.0,35.0,11.0,3.0,33.0,498.0,96.89,4243.0,3675.0,568.0,57.14,30.0,14.0,1.0,2.0,0.0,11.0,68.75,1.0,237.0,9.0,277.0,alleycats,2023.0,215.0,8.0,6.0,12.5,3.93,16.43,1.78,0.13,13.0,2.0,15.0,10.71,5.0,8.52,1.22,12.5,50.0,16.35,1.28,0.13,14.83,10.51,1.75,12.28,4.04,5.0,12.72,2.14,8.78,273.97,11.38,15.55,10.76,1.32,-0.56,0.99,1.51,2.31,2.68,2.21,-0.04,0.9,-0.45,2.8,0.87,-1.14,1.1,-1.03,-0.34,1.36,-0.39,1.89,0.342
McKay Yorgason,14.0,258.0,268.0,28.0,22.0,6.0,8.0,25.0,421.0,97.68,3067.0,2419.0,648.0,60.45,26.0,9.0,0.0,2.0,0.0,0.0,--,0.0,183.0,75.0,306.0,shred,2023.0,248.0,14.0,7.0,8.21,2.24,10.45,1.57,0.1,9.0,2.0,11.0,9.7,3.36,7.29,3.1,0.0,114.29,10.58,3.1,0.1,10.96,9.53,1.55,8.13,2.41,3.42,8.86,2.14,7.6,301.79,75.11,3.63,0.14,0.32,0.63,0.44,0.77,1.86,2.11,1.02,-0.54,0.19,-0.36,1.54,1.27,-1.32,1.47,-0.04,-0.39,1.1,0.29,1.85,0.702
Rick Gross,13.0,256.0,278.0,45.0,19.0,26.0,5.0,40.0,346.0,97.19,4494.0,1811.0,2683.0,61.51,25.0,8.0,0.0,2.0,0.0,4.0,66.67,0.0,232.0,24.0,298.0,alleycats,2023.0,215.0,8.0,6.0,6.83,9.35,16.19,1.24,0.16,7.0,10.0,16.0,8.99,2.88,12.99,1.95,0.0,83.33,16.11,1.99,0.15,15.79,8.85,1.23,6.8,9.27,2.95,6.93,9.86,13.09,294.22,25.88,3.51,4.0,1.27,-0.08,1.48,1.67,1.74,1.56,0.74,1.46,0.05,1.96,0.93,1.39,-0.48,1.37,-0.81,-0.39,1.23,-0.12,1.83,0.342
Ben Jagt,14.0,263.0,208.0,50.0,15.0,35.0,17.0,53.0,125.0,89.29,3634.0,855.0,2779.0,59.13,18.0,13.0,0.0,1.0,1.0,3.0,75.00,137.0,75.0,188.0,315.0,empire,2023.0,243.0,15.0,8.0,7.21,16.83,24.04,0.6,0.2,4.0,13.0,17.0,8.65,6.25,29.07,6.46,913.33,212.5,23.58,6.3,0.19,16.68,8.48,0.62,7.15,16.38,6.19,4.05,12.68,28.47,309.22,182.95,876.07,3.05,1.55,2.77,2.39,1.13,0.95,-0.07,0.37,2.36,0.76,2.07,-0.02,1.11,1.9,1.58,1.65,3.18,0.38,2.2,1.76,0.604
Christian Olsen,13.0,228.0,272.0,35.0,13.0,22.0,3.0,26.0,391.0,97.51,3634.0,2442.0,1192.0,62.5,31.0,10.0,1.0,2.0,0.0,3.0,75.00,0.0,211.0,17.0,282.0,hustle,2023.0,195.0,11.0,6.0,4.78,8.09,12.87,1.44,0.11,9.0,4.0,13.0,11.4,3.68,9.29,1.32,0.0,50.0,12.91,1.38,0.11,12.89,11.17,1.42,4.82,8.05,3.73,8.86,4.07,9.53,278.7,19.16,3.58,3.04,0.71,-0.56,0.51,1.13,2.42,1.89,0.19,1.06,0.33,0.26,1.57,1.51,-1.03,1.17,-0.91,-0.39,1.28,-0.4,1.76,0.393
Jonathan Mast,12.0,254.0,325.0,36.0,28.0,8.0,3.0,20.0,551.0,95.66,5134.0,3901.0,1233.0,52.62,40.0,19.0,1.0,0.0,0.0,14.0,66.67,0.0,254.0,0.0,290.0,thunderbirds,2023.0,179.0,6.0,5.0,8.62,2.46,11.08,1.7,0.08,12.0,4.0,16.0,12.31,5.85,9.32,1.18,0.0,60.0,11.17,1.23,0.08,15.82,12.09,1.68,8.54,2.6,5.82,11.79,4.06,9.52,286.99,2.33,3.01,13.7,0.76,-0.56,0.09,2.07,3.44,3.07,1.57,-0.34,1.61,0.31,3.02,0.33,-1.02,1.27,-1.16,-0.39,1.23,-0.4,1.68,-0.018
Zeppelin Raunig,11.0,219.0,258.0,47.0,18.0,29.0,5.0,45.0,168.0,96.55,4308.0,1372.0,2936.0,50.39,17.0,4.0,0.0,3.0,0.0,7.0,77.78,0.0,206.0,13.0,226.0,cascades,2023.0,177.0,11.0,5.0,6.98,11.24,18.22,0.65,0.21,5.0,11.0,17.0,6.59,1.55,25.64,2.28,0.0,100.0,18.06,2.31,0.2,16.74,6.53,0.66,6.94,11.08,1.68,5.0,10.81,25.28,224.62,15.43,3.77,6.89,1.38,-0.08,1.83,1.55,0.84,0.25,0.65,1.76,-0.52,2.25,0.5,0.06,1.39,0.46,-0.97,-0.39,1.12,-0.12,1.66,-0.001
Brett Hulsmeyer,13.0,306.0,296.0,57.0,27.0,30.0,18.0,53.0,302.0,94.08,5232.0,1653.0,3579.0,59.46,21.0,17.0,0.0,5.0,0.0,5.0,62.50,9.0,203.0,103.0,330.0,hustle,2023.0,195.0,11.0,6.0,9.12,10.14,19.26,1.02,0.17,6.0,12.0,18.0,7.09,5.74,17.32,5.88,81.82,300.0,19.09,5.79,0.16,17.74,7.02,1.02,9.02,10.04,5.72,5.97,11.8,17.28,325.39,102.18,82.45,4.97,1.94,3.01,2.39,2.13,1.29,1.24,1.47,1.86,1.33,2.98,0.78,1.15,0.16,1.77,0.38,-0.07,0.46,1.73,1.63,0.393
