Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,AST/POS %,GLS/POS %,SCR/POS %,CMP/POS,BLK/PP %,PM/PP,TY/POS,RY/POS,Y/POS,HA/POS %,T/POS %,Y/CMP,team_avg_min,SCR_adj,BLK_adj,+/-_adj,Y_adj,HA_adj,Cmp_adj,AST_adj,GLS_adj,T_adj,TY_adj,RY_adj,Y/CMP_adj,MP_adj,SCR_Z,BLK_Z,PM_Z,Y_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,YperCMP_Z,MP_z,DPP_Z,MP_Z,Offensive_Value,Defensive_Value,Score,team_avg_scr
Jordan Kerr,15.0,327.0,363.0,103.0,61.0,42.0,9.0,100.0,339.0,94.96,5880.0,2324.0,3556.0,62.26,25.0,12.0,0.0,0.0,1.0,8.0,72.73,1.0,307.0,20.0,346.0,shred,2023.0,16.8,11.57,28.37,0.93,2.75,0.31,6.0,10.0,16.0,6.89,3.31,17.35,248.0,100.61,8.84,97.32,5722.63,24.46,329.94,59.53,41.06,11.81,2261.83,3460.83,17.31,341.79,4.6,0.93,5.68,2.55,1.77,1.53,4.66,3.12,0.62,2.97,1.47,1.48,0.17,2.09,-0.87,2.09,2.15,0.3,2.321,0.348
Brandon Van Deusen,13.0,286.0,354.0,55.0,36.0,19.0,7.0,40.0,657.0,96.05,6548.0,5460.0,1088.0,55.93,40.0,20.0,0.0,2.0,0.0,16.0,59.26,0.0,279.0,7.0,332.0,aviators,2023.0,10.17,5.37,15.54,1.86,2.45,0.14,15.0,3.0,18.0,11.3,5.65,9.97,230.0,53.87,6.89,38.9,6368.38,39.04,638.98,35.18,18.67,19.59,5310.14,1058.27,10.14,328.07,1.86,0.43,1.52,2.97,3.5,3.87,2.33,0.77,1.78,0.17,4.61,0.72,-0.93,1.89,-1.06,1.89,2.09,-0.02,2.258,0.24
Jacob Miller,15.0,312.0,353.0,53.0,28.0,25.0,2.0,41.0,507.0,97.69,6213.0,3727.0,2486.0,62.89,43.0,12.0,0.0,2.0,0.0,7.0,63.64,0.0,300.0,12.0,328.0,shred,2023.0,7.93,7.08,15.01,1.44,0.64,0.13,11.0,7.0,18.0,12.18,3.4,12.25,248.0,51.93,2.03,39.87,6042.12,41.95,493.06,27.39,24.5,11.81,3624.47,2417.68,12.35,324.17,1.74,-0.82,1.59,2.76,3.84,2.77,1.58,1.38,0.62,1.76,2.87,1.56,-0.59,1.84,-0.99,1.84,2.08,-0.87,2.053,0.348
Ryan Osgar,14.0,243.0,299.0,95.0,76.0,19.0,2.0,80.0,402.0,95.94,6217.0,3510.0,2707.0,60.87,31.0,16.0,0.0,1.0,0.0,35.0,79.55,0.0,243.0,0.0,289.0,empire,2023.0,25.42,6.35,31.77,1.34,0.82,0.33,12.0,9.0,21.0,10.37,5.35,15.47,243.0,92.38,2.03,77.41,6016.13,30.16,389.02,73.73,18.61,15.64,3396.57,2619.59,15.49,285.76,4.12,-0.82,4.26,2.74,2.45,1.98,6.02,0.76,1.19,1.99,2.64,1.32,-0.11,1.3,-1.16,1.3,2.14,-0.78,2.015,0.331
Walker Frankenberg,12.0,270.0,337.0,65.0,23.0,42.0,2.0,57.0,291.0,95.72,4758.0,1825.0,2933.0,53.71,29.0,9.0,0.0,1.0,0.0,3.0,60.00,0.0,261.0,9.0,269.0,spiders,2023.0,6.82,12.46,19.29,0.86,0.74,0.21,5.0,9.0,14.0,8.61,2.67,16.35,181.0,63.53,2.03,55.36,4621.17,28.31,282.64,22.51,40.99,8.88,1772.55,2848.65,16.34,266.69,2.42,-0.82,2.69,1.85,2.23,1.17,1.12,3.11,0.18,2.26,0.97,0.46,0.02,1.03,-1.03,1.03,1.76,-0.74,1.841,0.164
Evan Swiatek,15.0,346.0,423.0,86.0,37.0,49.0,9.0,77.0,315.0,93.75,6065.0,1872.0,4193.0,50.83,28.0,13.0,1.0,5.0,0.0,11.0,84.62,0.0,295.0,51.0,369.0,sol,2023.0,8.75,11.58,20.33,0.74,2.6,0.22,4.0,10.0,14.0,6.62,3.07,19.25,233.0,84.34,8.86,75.22,5925.16,27.47,307.75,36.28,48.03,12.82,1828.88,4096.3,19.17,364.84,3.65,0.93,4.11,2.68,2.13,1.36,2.44,3.85,0.77,3.71,1.03,0.11,0.45,2.41,-0.4,2.41,1.53,0.24,1.763,0.164
Pawel Janas,14.0,319.0,396.0,80.0,67.0,13.0,4.0,51.0,860.0,96.3,8092.0,5962.0,2130.0,54.29,43.0,30.0,0.0,3.0,0.0,10.0,58.82,4.0,314.0,5.0,372.0,aviators,2023.0,16.92,3.28,20.2,2.17,1.25,0.16,15.0,5.0,20.0,10.86,7.58,9.41,230.0,78.37,3.98,49.74,7892.94,42.06,838.84,65.5,12.85,29.38,5815.28,2077.68,9.57,367.49,3.3,-0.32,2.29,3.95,3.85,5.39,5.24,0.15,3.25,1.36,5.13,0.53,-1.01,2.45,-1.09,2.45,1.58,-0.63,1.728,0.24
Sean McDougall,14.0,339.0,397.0,92.0,38.0,54.0,13.0,87.0,280.0,93.65,5307.0,1358.0,3949.0,54.41,25.0,17.0,0.0,1.0,0.0,9.0,60.00,0.0,294.0,45.0,381.0,aviators,2023.0,9.57,13.6,23.17,0.71,3.83,0.26,3.0,10.0,13.0,6.3,4.28,18.95,230.0,90.08,12.75,84.86,5176.85,24.51,273.14,37.21,52.85,16.71,1324.76,3852.12,18.88,376.28,3.98,1.93,4.79,2.2,1.78,1.1,2.53,4.36,1.35,3.43,0.51,0.54,0.4,2.57,-0.49,2.57,1.36,0.91,1.692,0.24
Austin Taylor,13.0,267.0,323.0,53.0,44.0,9.0,0.0,31.0,510.0,95.15,5358.0,4217.0,1141.0,60.06,38.0,21.0,0.0,1.0,0.0,27.0,75.00,1.0,258.0,9.0,313.0,hustle,2023.0,13.62,2.79,16.41,1.58,0.0,0.12,13.0,4.0,17.0,11.76,6.5,10.51,195.0,51.83,0.09,30.07,5197.4,37.01,494.71,42.86,8.94,20.52,4090.51,1106.92,10.67,309.28,1.74,-1.31,0.89,2.22,3.26,2.78,3.07,-0.26,1.92,0.23,3.35,1.22,-0.85,1.63,-1.03,1.63,1.58,-1.18,1.652,0.305
Travis Carpenter,12.0,246.0,280.0,46.0,35.0,11.0,3.0,33.0,498.0,96.89,4243.0,3675.0,568.0,57.14,30.0,14.0,1.0,2.0,0.0,11.0,68.75,1.0,237.0,9.0,277.0,alleycats,2023.0,12.5,3.93,16.43,1.78,1.22,0.13,13.0,2.0,15.0,10.71,5.0,8.52,215.0,44.9,3.0,31.86,4097.03,29.14,480.86,34.0,10.86,13.69,3548.45,548.62,8.78,273.97,1.33,-0.57,1.02,1.51,2.32,2.68,2.22,-0.05,0.9,-0.42,2.8,0.87,-1.14,1.14,-1.03,1.14,1.66,-0.58,1.63,0.213
Jeff Babbitt,14.0,242.0,285.0,62.0,2.0,60.0,15.0,73.0,185.0,97.37,3053.0,230.0,2823.0,58.95,15.0,4.0,0.0,0.0,0.0,1.0,50.00,0.0,202.0,40.0,288.0,empire,2023.0,0.7,21.05,21.75,0.65,6.2,0.3,1.0,10.0,11.0,5.26,1.4,16.5,243.0,60.37,14.59,70.53,2949.85,14.66,178.76,2.14,58.2,4.03,222.37,2727.51,16.48,284.64,2.24,2.4,3.77,0.78,0.61,0.39,-0.83,4.92,-0.54,2.12,-0.63,1.09,0.04,1.29,-0.57,1.29,1.39,1.44,1.519,0.331
Christian Olsen,13.0,228.0,272.0,35.0,13.0,22.0,3.0,26.0,391.0,97.51,3634.0,2442.0,1192.0,62.5,31.0,10.0,1.0,2.0,0.0,3.0,75.00,0.0,211.0,17.0,282.0,hustle,2023.0,4.78,8.09,12.87,1.44,1.32,0.11,9.0,4.0,13.0,11.4,3.68,9.29,195.0,34.26,3.0,25.08,3505.49,30.08,377.17,12.75,21.47,9.82,2355.58,1149.94,9.53,278.7,0.7,-0.57,0.53,1.13,2.44,1.89,0.18,1.06,0.32,0.28,1.57,1.51,-1.03,1.2,-0.91,1.2,1.46,-0.59,1.509,0.305
Quinn Finer,13.0,299.0,352.0,64.0,35.0,29.0,3.0,47.0,403.0,95.05,5961.0,2720.0,3241.0,55.68,35.0,16.0,0.0,4.0,0.0,24.0,77.42,0.0,266.0,33.0,330.0,apex,2023.0,9.94,8.24,18.18,1.14,1.0,0.16,8.0,9.0,17.0,9.94,4.55,14.79,196.0,62.62,3.0,45.7,5796.61,34.17,391.9,34.2,28.39,15.7,2645.0,3151.64,14.82,326.1,2.37,-0.57,2.0,2.6,2.92,2.0,2.24,1.79,1.2,2.61,1.87,0.69,-0.21,1.87,-0.67,1.87,1.28,-0.7,1.404,0.158
