Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,team_avg_min,SCR_adj,BLK_adj,+/-_adj,Y_adj,HA_adj,Cmp_adj,AST_adj,GLS_adj,T_adj,TY_adj,RY_adj,SCR_Z,BLK_Z,PM_Z,Y/CMP_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,Offensive_Value,Score
Andres Rodriguez,7,80,51,5,3,2,5,5,38,86.36,459,250,209,54.9,4,4,0,1,0,0,--,3,3,77,109,phoenix,2025,179.0,2.05,0.54,1.79,172.12,0.96,12.46,1.04,1.02,0.79,82.77,89.45,-0.98,-0.11,-0.98,-0.88,-0.66,-0.75,-0.72,-0.97,-0.49,-0.92,-0.63,0.5,-0.37,-0.289
Justin Keller,10,123,70,4,3,1,1,5,60,100.0,356,297,59,54.29,4,0,0,0,0,1,100.00,0,9,114,161,phoenix,2025,179.0,1.52,0.35,1.33,127.15,0.72,9.6,0.77,0.75,0.53,62.43,64.79,-1.03,-1.04,-0.98,-0.94,-0.66,-0.58,-0.72,-1.08,-1.03,-1.1,-0.58,0.43,-0.1,-0.095
Calvin Trisolini,4,46,51,7,3,4,0,4,62,96.88,691,491,200,43.14,1,2,0,1,0,1,50.00,1,40,6,51,phoenix,2025,179.0,2.09,0.45,1.77,176.27,0.91,12.89,1.04,1.05,0.75,87.07,89.29,-0.86,-1.27,-1.05,-0.73,-1.0,-0.56,-0.72,-0.76,-0.76,-0.93,-0.39,-0.74,-0.26,-0.139
Drew Loughnane,4,47,27,3,0,3,2,4,5,83.33,174,20,154,51.85,2,1,0,0,0,0,--,0,1,46,58,phoenix,2025,179.0,3.53,0.84,3.09,292.31,1.62,20.78,1.72,1.81,1.28,137.66,154.81,-1.09,-0.81,-1.05,-1.06,-0.89,-1.02,-0.99,-0.87,-0.9,-0.99,-0.86,0.18,-0.27,-0.154
Marcel Oliart,9,220,258,43,13,30,5,36,227,94.98,3608,1000,2608,45.74,18,10,0,2,0,2,100.00,0,212,8,238,thunderbirds,2025,152.0,0.58,0.11,0.5,48.62,0.26,3.37,0.26,0.32,0.19,20.48,28.17,1.18,-0.11,1.22,1.13,0.96,0.76,0.19,1.96,0.33,2.02,0.12,-0.47,0.42,0.526
John McMonigal,11,245,280,40,21,19,7,25,280,93.02,3746,1531,2215,46.79,18,18,0,4,0,8,57.14,0,207,38,269,thunderbirds,2025,152.0,0.53,0.11,0.42,45.35,0.24,3.3,0.27,0.26,0.2,20.76,24.61,1.01,0.36,0.44,1.22,0.96,1.19,0.91,0.81,1.42,1.54,0.66,-0.36,-0.21,-0.279
Alex Mullen,7,160,185,29,12,17,6,20,203,94.86,2502,1046,1456,41.62,8,10,0,5,0,5,50.00,0,147,13,171,thunderbirds,2025,152.0,0.73,0.16,0.61,61.48,0.31,4.54,0.35,0.38,0.26,28.58,32.93,0.38,0.13,0.09,0.42,-0.19,0.57,0.1,0.6,0.33,0.61,0.17,-0.9,-0.26,-0.276
Reid Duncan,9,160,112,17,1,16,7,20,48,96.0,1036,174,862,35.71,4,2,0,2,0,0,--,14,32,128,175,thunderbirds,2025,152.0,1.09,0.27,0.98,87.32,0.46,6.05,0.48,0.61,0.36,38.97,48.39,-0.3,0.36,0.09,-0.51,-0.66,-0.67,-0.9,0.5,-0.76,-0.12,-0.71,-1.53,-0.01,-0.011
Lucas Storm,7,142,151,22,11,11,4,19,88,93.62,1490,526,964,45.03,5,6,0,1,0,3,60.00,0,110,32,152,thunderbirds,2025,152.0,0.85,0.19,0.73,68.4,0.35,4.79,0.42,0.42,0.29,31.48,36.95,-0.01,-0.34,0.02,-0.22,-0.54,-0.35,0.01,-0.03,-0.21,0.01,-0.35,-0.54,-0.1,-0.1
Jonathan Mast,10,217,264,35,28,7,1,17,430,95.34,4017,3151,866,45.45,22,17,0,2,0,11,64.71,0,217,0,244,thunderbirds,2025,152.0,0.54,0.1,0.42,49.06,0.27,4.05,0.31,0.23,0.21,28.01,21.06,0.72,-1.04,-0.12,1.39,1.42,2.39,1.54,-0.45,1.28,-0.11,2.29,-0.5,0.24,0.304
Dan Nichols,6,102,96,11,5,6,4,13,84,97.67,901,414,487,60.42,8,2,0,0,0,0,--,0,67,35,110,thunderbirds,2025,152.0,1.2,0.29,1.07,99.81,0.57,7.37,0.59,0.6,0.42,47.51,52.35,-0.64,-0.34,-0.41,-0.6,-0.19,-0.38,-0.54,-0.55,-0.76,-0.58,-0.47,1.08,0.06,0.051
Jimmy Towle,8,174,209,15,5,10,2,12,136,96.45,1719,749,970,44.98,10,4,0,1,0,0,0.00,0,174,0,182,thunderbirds,2025,152.0,0.58,0.13,0.5,50.93,0.28,3.72,0.28,0.3,0.21,23.99,26.96,-0.41,-0.81,-0.48,-0.07,0.04,0.03,-0.54,-0.13,-0.49,0.01,-0.13,-0.55,0.06,0.066
Anson Reppermund,8,159,149,17,7,10,5,11,74,86.05,1632,537,1095,48.32,7,10,0,1,0,5,50.00,28,86,73,165,thunderbirds,2025,152.0,0.82,0.19,0.69,70.21,0.37,4.77,0.4,0.42,0.32,31.96,38.28,-0.3,-0.11,-0.55,-0.13,-0.31,-0.46,-0.36,-0.13,0.33,0.17,-0.34,-0.2,-0.44,-0.458
Carl Johnson,7,118,117,11,2,9,4,10,41,89.13,831,173,658,45.3,4,5,0,0,0,0,0.00,4,82,36,127,thunderbirds,2025,152.0,0.99,0.24,0.86,82.06,0.44,5.75,0.47,0.52,0.37,37.36,44.74,-0.64,-0.34,-0.62,-0.64,-0.66,-0.73,-0.81,-0.24,-0.35,-0.37,-0.71,-0.51,-0.37,-0.338
Anil Driehuys,4,93,109,18,11,7,0,8,139,92.05,1920,1037,883,46.79,4,10,0,0,0,7,46.67,0,93,0,101,thunderbirds,2025,152.0,1.12,0.22,0.9,97.37,0.47,7.01,0.58,0.54,0.44,47.56,49.85,-0.24,-1.27,-0.76,0.05,-0.66,0.06,0.01,-0.45,0.33,-0.09,0.16,-0.36,-0.51,-0.416
Evan Bembenista,7,159,175,16,4,12,3,8,70,89.74,1549,486,1063,40.57,8,7,0,4,0,3,42.86,0,128,31,170,thunderbirds,2025,152.0,0.7,0.16,0.57,59.61,0.32,4.06,0.33,0.37,0.26,27.06,32.57,-0.35,-0.57,-0.76,-0.18,-0.19,-0.5,-0.63,0.08,-0.08,0.13,-0.39,-1.01,-0.18,-0.19
Joe Molder,9,107,71,4,2,2,4,7,12,92.31,314,26,288,46.48,0,1,0,0,0,0,--,0,13,94,113,thunderbirds,2025,152.0,1.5,0.38,1.34,124.92,0.66,8.84,0.75,0.75,0.54,58.04,66.95,-1.03,-0.34,-0.83,-0.97,-1.12,-0.96,-0.81,-0.97,-0.9,-0.82,-0.86,-0.39,-0.35,-0.302
Jacob Rollins,8,91,57,8,3,5,1,7,25,96.15,388,79,309,49.12,4,1,0,1,0,1,100.00,1,11,80,96,thunderbirds,2025,152.0,1.9,0.42,1.65,154.32,0.87,11.05,0.94,0.97,0.66,72.0,82.4,-0.81,-1.04,-0.83,-0.92,-0.66,-0.86,-0.72,-0.66,-0.9,-0.8,-0.8,-0.11,-0.08,-0.064
