Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,team_avg_min,SCR_adj,BLK_adj,+/-_adj,Y_adj,HA_adj,Cmp_adj,AST_adj,GLS_adj,T_adj,TY_adj,RY_adj,SCR_Z,BLK_Z,PM_Z,Y/CMP_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,Offensive_Value,Score
James Lewis,11,265,298,54,22,32,9,47,287,94.1,5154,1900,3254,54.03,27,15,0,1,0,4,57.14,1,233,32,270,rush,2025,174.0,0.54,0.11,0.47,47.31,0.25,3.13,0.25,0.29,0.18,20.74,26.58,1.8,0.83,2.01,2.11,2.0,1.24,1.0,2.17,1.01,2.81,1.03,0.41,0.91,1.134
Arvids Karklins,8,200,209,42,25,17,9,35,166,91.21,4100,1592,2508,55.02,16,15,0,1,0,12,57.14,11,167,33,197,rush,2025,174.0,0.71,0.16,0.61,62.06,0.31,3.86,0.37,0.34,0.26,27.93,34.15,1.12,0.83,1.15,1.44,0.73,0.27,1.27,0.6,1.01,1.9,0.72,0.51,0.38,0.404
Tom Blasman,12,279,297,59,48,11,4,35,452,93.58,6110,4346,1764,53.2,27,25,1,3,0,24,61.54,6,232,47,280,rush,2025,174.0,0.56,0.1,0.43,50.63,0.25,3.68,0.34,0.22,0.22,28.91,21.74,2.08,-0.34,1.15,2.72,2.0,2.57,3.34,-0.03,2.37,0.99,3.49,0.32,0.87,1.104
Keith McRae,12,209,201,31,10,21,9,32,108,93.1,2331,734,1597,54.73,10,8,0,0,0,5,55.56,2,134,75,223,rush,2025,174.0,0.68,0.17,0.62,55.88,0.29,3.73,0.32,0.37,0.23,24.85,31.05,0.5,0.83,0.94,0.32,0.04,-0.19,-0.08,1.02,0.06,0.78,-0.14,0.48,0.18,0.204
Ty Barbieri,10,212,238,44,8,36,1,31,73,89.02,2005,214,1791,55.04,5,9,1,5,0,2,40.00,0,194,18,221,rush,2025,174.0,0.63,0.11,0.52,46.03,0.23,3.02,0.26,0.37,0.2,18.93,27.12,1.23,-1.04,0.87,0.11,-0.54,-0.47,-0.27,2.59,0.19,1.02,-0.67,0.51,0.02,0.023
Phil Turner,12,234,134,12,2,10,17,25,62,96.88,1067,435,632,48.51,7,2,0,2,1,2,100.00,87,47,187,245,rush,2025,174.0,0.88,0.3,0.86,73.72,0.41,5.19,0.41,0.47,0.3,34.68,39.08,-0.58,2.7,0.44,-0.49,-0.31,-0.56,-0.81,-0.13,-0.76,-0.4,-0.44,-0.18,0.09,0.107
Ryan Poloz,11,217,261,30,24,6,1,19,265,94.31,2987,2075,912,54.41,13,11,0,1,0,4,66.67,0,208,9,233,rush,2025,174.0,0.53,0.1,0.43,45.74,0.24,3.48,0.3,0.23,0.19,24.29,21.47,0.44,-1.04,0.02,0.73,0.38,1.07,1.18,-0.55,0.47,-0.06,1.2,0.45,0.22,0.255
Oscar Stonehouse,8,150,91,15,4,11,4,17,51,96.23,1065,235,830,52.75,8,2,0,0,0,0,--,0,28,122,157,rush,2025,174.0,1.3,0.3,1.17,106.72,0.6,7.41,0.61,0.69,0.44,48.12,58.65,-0.41,-0.34,-0.12,-0.49,-0.19,-0.65,-0.63,-0.03,-0.76,-0.16,-0.65,0.27,0.16,0.152
Martin Gallant,4,86,94,23,9,14,2,15,109,91.6,1610,853,757,58.51,8,10,1,0,0,2,66.67,0,78,8,93,rush,2025,174.0,1.34,0.27,1.11,108.99,0.59,7.77,0.65,0.7,0.51,52.91,56.13,0.04,-0.81,-0.27,-0.14,-0.19,-0.18,-0.17,0.29,0.33,-0.25,-0.02,0.88,-0.21,-0.154
Toms Abeltins,11,198,113,15,11,4,7,15,121,93.8,1425,1213,212,56.64,9,7,0,0,0,10,76.92,0,47,151,217,rush,2025,174.0,1.06,0.27,0.93,89.87,0.5,6.62,0.56,0.5,0.4,47.44,42.47,-0.41,0.36,-0.27,-0.26,-0.08,-0.09,0.01,-0.76,-0.08,-0.92,0.34,0.68,0.04,0.045
Luc Comire,9,185,215,22,17,5,1,9,306,95.63,3640,2654,986,54.88,20,14,1,0,0,8,57.14,0,176,9,205,rush,2025,174.0,0.6,0.12,0.47,58.27,0.32,4.39,0.33,0.27,0.25,32.0,26.3,-0.01,-1.04,-0.69,1.15,1.19,1.4,0.55,-0.66,0.87,0.03,1.79,0.5,0.2,0.217
Mike Mackenzie,5,111,68,11,3,8,4,9,44,89.8,938,375,563,52.94,7,5,0,1,0,1,50.00,21,19,92,118,rush,2025,174.0,1.66,0.4,1.42,138.6,0.78,9.64,0.79,0.86,0.62,65.21,73.47,-0.64,-0.34,-0.69,-0.57,-0.31,-0.71,-0.72,-0.34,-0.35,-0.49,-0.5,0.29,-0.15,-0.124
Wilkie Lewis,11,229,256,22,7,15,0,9,140,94.59,2073,734,1339,53.13,12,8,0,5,0,2,40.00,0,201,28,248,rush,2025,174.0,0.51,0.1,0.4,43.11,0.24,3.07,0.24,0.27,0.18,19.61,23.52,-0.01,-1.27,-0.69,0.15,0.27,0.06,-0.36,0.39,0.06,0.47,-0.14,0.31,-0.04,-0.048
Zachary Armstrong,11,186,95,7,4,3,4,9,22,91.67,426,124,302,45.26,1,2,0,0,0,0,0.00,75,25,161,192,rush,2025,174.0,1.17,0.29,1.04,96.06,0.51,6.82,0.59,0.58,0.42,45.09,51.02,-0.86,-0.34,-0.69,-0.9,-1.0,-0.88,-0.63,-0.87,-0.76,-0.81,-0.76,-0.52,-0.3,-0.315
Dax Miller,7,91,49,8,5,3,1,7,27,93.1,528,265,263,63.27,2,2,0,0,0,1,50.00,0,16,75,99,rush,2025,174.0,2.19,0.48,1.89,179.78,0.96,12.72,1.11,1.07,0.78,86.11,93.76,-0.81,-1.04,-0.83,-0.83,-0.89,-0.84,-0.54,-0.87,-0.76,-0.85,-0.61,1.38,-0.18,-0.136
Araav Sehgal,8,86,45,4,4,0,2,5,46,100.0,414,345,69,53.33,3,0,0,1,0,1,100.00,0,9,77,98,rush,2025,174.0,2.28,0.54,2.0,191.88,1.06,14.12,1.18,1.1,0.8,94.6,97.38,-1.03,-0.81,-0.98,-0.91,-0.77,-0.69,-0.63,-1.18,-1.03,-1.09,-0.53,0.33,-0.08,-0.06
Brandon Adibe,9,128,55,6,1,5,3,5,6,66.67,380,48,332,45.45,0,3,0,1,0,0,--,0,5,123,141,rush,2025,174.0,1.93,0.47,1.67,159.33,0.83,11.1,0.93,1.0,0.72,73.88,85.53,-0.92,-0.57,-0.98,-0.93,-1.12,-1.01,-0.9,-0.66,-0.62,-0.77,-0.83,-0.5,-0.45,-0.405
Nathan Hsieh,6,82,56,8,2,6,0,5,28,87.5,650,310,340,53.57,6,3,0,0,0,2,66.67,0,29,53,96,rush,2025,174.0,1.93,0.41,1.64,161.15,0.92,11.28,0.93,1.0,0.7,76.97,84.26,-0.81,-1.27,-0.98,-0.76,-0.43,-0.83,-0.81,-0.55,-0.62,-0.76,-0.57,0.36,-0.09,-0.067
Rowan Jamieson,4,49,29,5,0,5,1,5,7,100.0,196,-17,213,41.38,1,0,0,1,0,0,--,2,8,41,55,rush,2025,174.0,3.38,0.76,2.94,275.76,1.5,19.62,1.62,1.76,1.18,128.47,147.44,-0.98,-1.04,-0.98,-1.04,-1.0,-1.0,-0.99,-0.66,-1.03,-0.92,-0.9,-0.93,-0.21,-0.118
Harry Norris,7,76,38,7,3,4,1,4,16,80.0,389,62,327,52.63,1,4,0,0,0,0,0.00,2,4,72,86,rush,2025,174.0,2.72,0.6,2.3,222.53,1.19,15.72,1.35,1.37,1.02,103.42,119.23,-0.86,-1.04,-1.05,-0.92,-1.0,-0.93,-0.72,-0.76,-0.49,-0.78,-0.82,0.26,-0.48,-0.337
Joel Clutton,7,125,158,22,4,18,4,18,67,88.16,1438,360,1078,33.54,5,8,0,0,0,2,100.00,1,110,15,146,bighorns,2025,142.0,0.81,0.18,0.69,65.14,0.34,4.46,0.36,0.45,0.29,29.11,36.06,-0.01,-0.34,-0.05,-0.25,-0.54,-0.52,-0.63,0.7,0.06,0.15,-0.52,-1.76,-0.33,-0.335
Brad Ellis,11,208,278,29,8,21,4,16,73,79.35,2134,364,1770,31.29,6,16,1,1,0,2,22.22,0,198,10,239,bighorns,2025,142.0,0.49,0.1,0.39,39.98,0.2,2.59,0.22,0.27,0.2,16.78,23.22,0.38,-0.34,-0.19,0.19,-0.43,-0.47,-0.27,1.02,1.15,0.99,-0.52,-1.99,-0.8,-1.038
Braden Distel,11,183,174,13,6,7,11,15,68,87.18,1411,423,988,31.03,6,9,0,0,0,3,60.00,0,93,90,214,bighorns,2025,142.0,0.69,0.2,0.61,59.17,0.31,4.07,0.34,0.35,0.27,26.86,32.34,-0.52,1.29,-0.27,-0.27,-0.43,-0.51,-0.45,-0.45,0.19,0.03,-0.46,-2.02,-0.53,-0.651
Brent Moore,8,125,92,11,3,8,10,14,30,83.33,562,53,509,33.7,2,6,0,1,0,0,0.00,34,35,90,147,bighorns,2025,142.0,1.25,0.36,1.12,100.43,0.54,7.11,0.6,0.65,0.47,45.75,54.73,-0.64,1.06,-0.34,-0.81,-0.89,-0.82,-0.72,-0.34,-0.21,-0.55,-0.83,-1.74,-0.56,-0.57
Dan Vockeroth,5,123,140,14,7,7,6,12,96,92.31,1568,559,1009,32.14,6,6,0,2,0,3,50.00,1,94,29,145,bighorns,2025,142.0,0.86,0.21,0.74,74.12,0.39,5.21,0.43,0.43,0.32,34.1,40.06,-0.47,0.13,-0.48,-0.17,-0.43,-0.29,-0.36,-0.45,-0.21,0.06,-0.32,-1.9,-0.27,-0.273
Harrison Tucker,11,174,199,15,2,13,2,12,63,96.92,1234,31,1203,29.15,6,2,0,3,0,1,100.00,0,126,48,201,bighorns,2025,142.0,0.61,0.13,0.52,51.05,0.27,3.54,0.28,0.33,0.21,21.65,29.43,-0.41,-0.81,-0.48,-0.38,-0.43,-0.55,-0.81,0.18,-0.76,0.3,-0.85,-2.22,-0.07,-0.083
Porter Stobbe,10,181,222,31,18,13,5,9,62,70.45,1929,758,1171,31.08,4,24,0,3,0,10,47.62,0,153,28,192,bighorns,2025,142.0,0.62,0.13,0.46,48.94,0.24,3.18,0.32,0.3,0.28,22.66,26.3,0.5,-0.11,-0.69,0.06,-0.66,-0.56,0.64,0.18,2.24,0.26,-0.12,-2.02,-1.26,-1.465
Jason Zeidman,9,120,101,7,2,5,8,7,57,89.06,749,298,451,29.7,2,6,0,2,0,2,66.67,0,51,69,141,bighorns,2025,142.0,1.1,0.31,0.96,93.67,0.49,6.76,0.54,0.57,0.43,44.18,49.54,-0.86,0.59,-0.83,-0.69,-0.89,-0.6,-0.81,-0.66,-0.21,-0.62,-0.58,-2.16,-0.63,-0.628
Chris Wilson,11,154,114,7,5,2,4,6,62,92.54,627,83,544,31.58,4,4,0,1,0,0,--,0,42,112,184,bighorns,2025,142.0,0.98,0.24,0.85,82.41,0.45,6.07,0.5,0.48,0.37,37.55,44.91,-0.86,-0.34,-0.9,-0.77,-0.66,-0.56,-0.54,-0.97,-0.49,-0.51,-0.8,-1.96,-0.46,-0.524
Ryan Hiser,8,162,214,23,20,3,8,4,243,90.67,3039,2134,905,35.51,19,23,0,4,0,20,68.97,5,153,9,188,bighorns,2025,142.0,0.61,0.15,0.45,55.79,0.32,4.12,0.34,0.26,0.29,29.77,26.05,0.04,0.59,-1.05,0.77,1.07,0.89,0.82,-0.87,2.1,-0.07,1.26,-1.55,-0.61,-0.702
Adrian Cisneros,8,103,75,5,0,5,2,2,21,87.5,448,48,400,32.0,2,3,0,2,0,0,--,1,38,65,114,bighorns,2025,142.0,1.44,0.34,1.21,120.35,0.65,8.51,0.69,0.75,0.54,55.41,65.0,-0.98,-0.81,-1.19,-0.88,-0.89,-0.89,-0.99,-0.66,-0.62,-0.69,-0.83,-1.92,-0.43,-0.385
AJ Miles,4,58,52,2,0,2,2,2,8,88.89,245,23,222,28.85,1,1,1,1,0,1,50.00,0,34,24,61,bighorns,2025,142.0,1.96,0.47,1.7,165.35,0.89,11.72,0.96,1.0,0.72,77.33,88.11,-1.15,-0.81,-1.19,-1.01,-1.0,-0.99,-0.99,-0.97,-0.9,-0.9,-0.86,-2.25,-0.34,-0.223
James Shorey,11,160,169,8,3,5,3,2,46,83.64,724,192,532,27.22,4,9,0,0,0,0,0.00,0,118,42,191,bighorns,2025,142.0,0.68,0.16,0.56,56.92,0.31,4.06,0.33,0.34,0.28,26.3,30.64,-0.81,-0.57,-1.19,-0.71,-0.66,-0.69,-0.72,-0.66,0.19,-0.52,-0.69,-2.42,-0.78,-0.905
Ryan Martin,6,69,52,2,0,2,2,2,26,92.86,266,94,172,28.85,0,1,0,1,0,1,100.00,3,22,47,81,bighorns,2025,142.0,1.96,0.47,1.7,165.72,0.88,12.04,0.96,1.0,0.72,78.58,87.23,-1.15,-0.81,-1.19,-1.0,-1.12,-0.85,-0.99,-0.97,-0.9,-0.97,-0.79,-2.25,-0.41,-0.31
Sam Besse,10,177,201,12,3,9,3,2,177,93.16,1817,1197,620,30.85,4,12,0,1,0,1,25.00,2,128,49,217,bighorns,2025,142.0,0.59,0.14,0.47,53.38,0.26,4.06,0.28,0.31,0.25,27.1,26.31,-0.58,-0.57,-1.19,-0.01,-0.66,0.36,-0.72,-0.24,0.6,-0.42,0.32,-2.04,-0.9,-1.113
Brock Jensen,4,57,38,2,1,1,0,1,24,88.89,279,229,50,26.32,2,1,0,0,0,1,100.00,1,20,37,52,bighorns,2025,142.0,2.6,0.58,2.23,219.98,1.21,15.91,1.3,1.3,0.95,107.3,112.79,-1.15,-1.27,-1.26,-0.99,-0.89,-0.87,-0.9,-1.08,-0.9,-1.12,-0.65,-2.52,-0.25,-0.151
Brycen Williams,11,166,127,8,4,4,3,1,65,89.04,1088,362,726,33.07,5,8,0,2,0,1,100.00,1,63,103,183,bighorns,2025,142.0,0.89,0.21,0.73,77.79,0.42,5.49,0.45,0.45,0.36,35.96,41.86,-0.81,-0.57,-1.26,-0.48,-0.54,-0.54,-0.63,-0.76,0.06,-0.29,-0.52,-1.81,-0.63,-0.715
Connor Garrison,3,30,21,0,0,0,2,1,6,85.71,46,17,29,14.29,0,1,0,0,0,0,--,0,0,30,38,bighorns,2025,142.0,4.23,1.04,3.69,354.85,1.92,25.62,2.12,2.12,1.58,169.31,185.73,-1.26,-0.81,-1.26,-1.14,-1.12,-1.01,-0.99,-1.18,-0.9,-1.14,-0.86,-3.79,-0.43,-0.222
Jake Anderson,6,62,40,1,0,1,1,1,3,75.0,76,-11,87,25.0,0,1,0,0,0,0,0.00,0,9,53,63,bighorns,2025,142.0,2.47,0.58,2.13,205.69,1.11,14.73,1.22,1.24,0.91,97.2,108.6,-1.2,-1.04,-1.26,-1.12,-1.12,-1.03,-0.99,-1.08,-0.9,-1.07,-0.89,-2.66,-0.41,-0.273
Blake Jordan,2,37,33,1,1,0,2,0,28,90.32,300,250,50,21.21,1,3,0,0,0,1,100.00,13,18,19,37,bighorns,2025,142.0,2.92,0.71,2.5,249.47,1.34,18.11,1.47,1.45,1.13,121.97,127.63,-1.2,-0.81,-1.33,-0.98,-1.0,-0.83,-0.9,-1.18,-0.62,-1.12,-0.63,-3.06,-0.5,-0.255
