Player,Y,SCR,HA,PlusMinus,BLK,Cmp%,PP,eUPV_custom
Allan Laviolette,4847,73,14,53,2,90.79,285,168.0
Henry Fisher,4359,58,31,53,6,95.22,283,171.0
Jacob Fairfax,4304,51,21,48,9,96.05,326,146.0
Terrence Mitchell,2953,44,14,42,4,97.7,224,157.0
Matt Gouchoe-Hanas,3810,47,40,37,0,98.54,285,157.0
Elijah Long,2017,35,29,34,8,95.65,263,94.0
Sol Yanuck,6468,55,42,34,5,95.63,311,215.0
Eric Taylor,3214,40,22,31,6,93.92,227,150.0
Alex Davis,931,18,6,29,15,92.68,220,54.0
David Richardson,473,12,1,26,16,94.12,243,31.0
Seth Weaver,1022,23,12,24,7,93.33,241,53.0
Matthew Mcknight,3181,30,19,16,1,94.4,201,159.0
Noah Saul,1447,20,11,16,9,93.84,244,64.0
Tim McAllister,655,10,6,15,7,93.75,157,51.0
Ethan Bloodworth,971,13,2,13,7,93.55,241,43.0
Connor Russell,534,9,5,11,10,85.96,122,45.0
Josh Hartzog,697,10,4,9,4,89.86,234,30.0
Grayson Sanner,258,5,0,6,1,93.75,50,61.0
Trevor Lynch,742,8,6,6,4,94.34,199,39.0
Ross Barker,4403,74,28,60,4,92.89,278,171.0
Pawel Janas,7290,73,40,58,2,95.95,266,292.0
Paul Arters,3467,51,14,48,4,95.77,187,210.0
Nate Goff,1499,25,9,36,19,96.12,258,74.0
Drew Swanson,391,8,3,26,20,100.0,175,43.0
Eli Artemakis,1799,23,12,24,3,96.55,154,134.0
Jeremy Burril,2086,34,17,24,1,94.7,186,125.0
Keegan North,2328,34,20,23,2,93.85,186,134.0
Jack Shanahan,1684,27,5,22,3,89.29,135,122.0
Jason Vallee,1205,25,9,21,6,94.07,210,67.0
Pat Shriwise,2598,31,15,20,1,96.25,166,169.0
Tim Schoch,1149,18,9,20,4,98.03,164,88.0
Kurt Gibson,1425,21,5,18,5,94.2,122,127.0
Nico Lake,2508,22,20,18,3,95.96,168,159.0
Cal Tornabene,539,9,5,17,9,97.87,186,41.0
Danny Miller,885,14,1,15,1,100.0,57,195.0
Jeffrey Robinson,855,12,11,14,10,91.26,180,53.0
Charlie Furse,961,16,4,13,2,94.05,177,60.0
Sam Kaminsky,1002,16,8,12,4,94.16,187,59.0
Reid Martin,975,13,8,11,3,99.0,156,75.0
Joe Richards,2404,58,6,57,5,90.67,221,123.0
AJ Merriman,2043,35,5,44,20,88.37,246,87.0
Joe Merrill,1789,43,6,43,3,93.24,146,147.0
Garrett Braun,3101,39,31,33,3,98.04,192,190.0
Jonny Malks,5128,54,34,33,2,96.1,224,243.0
Zach Norrbom,2954,36,19,31,3,98.08,146,234.0
Jacques Nissen,3569,35,21,29,3,96.41,207,186.0
Rhys Bergeron,1012,15,4,27,15,92.96,188,65.0
Rowan McDonnell,3483,38,30,25,7,96.64,243,157.0
Jeff Wodatch,1864,28,10,23,1,94.83,115,179.0
Gus Norrbom,2327,25,17,21,1,98.61,163,164.0
Jeremy Hess,819,13,2,15,6,90.2,189,46.0
Duncan Fitzgerald,1120,14,6,13,5,92.04,183,63.0
Kevin Healey,907,16,6,13,2,91.89,91,107.0
Ben Green,445,6,3,12,10,90.0,152,34.0
Steven Wartinbee,1531,18,9,12,2,95.2,114,142.0
Leo Pierson,222,5,0,10,5,100.0,42,86.0
Quinn Bergeron,570,4,4,10,11,88.37,145,40.0
