Player,Y,SCR,HA,PlusMinus,BLK,Cmp%,PP,eUPV_custom
Dalton Smith,1190,12,9,14,7,95.31,114,116.0
Mica Glass,1054,15,5,12,4,92.65,104,106.0
Charlie Furse,574,12,4,11,1,94.87,167,41.0
Scott Hearne,606,8,5,8,5,90.74,94,67.0
John Jones,195,2,1,7,6,90.91,156,16.0
Quinn Finer,6668,89,32,84,5,97.58,321,241.0
Jay Froude,4550,63,23,59,8,94.29,269,185.0
Thomas Brewster,3384,54,10,55,4,97.84,273,150.0
Cody Spicer,2435,40,14,47,13,96.49,351,85.0
Matt Jackson,3888,58,29,42,5,95.11,307,140.0
Alex Tatum,3383,37,15,35,14,89.63,252,128.0
Alex Atkins,3031,35,19,34,9,96.23,187,181.0
Danny Landesman,3777,41,32,33,2,97.18,243,174.0
Jonathan Nethercutt,7931,72,45,32,3,92.33,313,241.0
Daniel Brunker,3148,33,25,31,9,95.04,223,153.0
Mathieu Agee,1667,26,7,28,10,90.91,206,86.0
Seth Faris,1098,16,4,24,11,91.89,193,64.0
Nicholas Snuszka,888,13,7,19,8,95.65,160,69.0
Nathan Buchholz,894,12,13,15,5,96.7,160,69.0
Sam Goldstein,837,13,4,15,6,92.06,127,73.0
Felix Pronove,851,12,7,10,2,93.22,138,66.0
Jon Morris,147,4,0,10,6,100.0,91,31.0
Matthew Bristol,531,9,5,9,5,96.77,157,42.0
Walt Johnson,344,6,0,7,3,93.75,63,63.0
Kevin Johnson,158,4,0,6,2,100.0,111,22.0
Rowan McDonnell,6350,84,38,66,7,94.59,316,216.0
Christian Boxley,3665,60,24,57,4,97.1,259,170.0
Tyler Monroe,5556,64,47,44,2,95.7,283,212.0
Steven Wartinbee,3676,49,19,41,4,95.85,251,162.0
Jonny Malks,5513,56,27,39,3,95.68,255,227.0
Jeff Wodatch,3570,45,18,35,4,94.03,240,156.0
Joe Richards,1567,40,5,34,1,91.07,151,117.0
Moussa Dia,1935,26,8,32,14,93.33,255,84.0
Jacques Nissen,4059,38,27,28,1,96.01,178,242.0
Alexandre Fall,746,17,3,23,9,88.0,220,39.0
Rhys Bergeron,664,12,4,20,10,95.35,212,42.0
AJ Merriman,1421,20,6,18,11,82.86,270,45.0
David Cranston,1044,9,9,18,12,93.75,172,69.0
Frederick Farah,333,9,1,17,8,100.0,160,36.0
Luke Rehfuss,540,9,1,16,7,100.0,125,61.0
Jeremy Knopf,2280,13,19,15,4,99.17,183,140.0
Jasper Tom,692,11,6,15,8,94.34,165,51.0
Zach Norrbom,1540,16,6,14,0,98.55,93,187.0
David Bloodgood,1068,18,10,13,6,91.78,209,55.0
David Shields,679,10,6,9,4,93.51,118,64.0
Andrew Sjogren,3920,49,20,36,4,92.67,312,128.0
Jack Havey,4367,52,25,33,3,92.31,298,146.0
Jacob Anthuvan,2563,36,9,30,3,91.96,268,98.0
Joseph Cubitt,6701,57,35,24,9,92.9,334,192.0
Chris Walsh,5293,50,21,23,4,92.21,292,171.0
Justin Winn,2217,31,8,14,2,84.48,189,97.0
David Valentine-Elam,1843,20,5,12,5,91.95,171,104.0
Jake Kenniv,2306,21,16,11,5,89.63,244,86.0
Chris Ellis,546,5,4,8,4,98.51,208,32.0
Mac Hecht,429,4,3,5,2,96.15,26,185.0
Terry Gaither,110,1,0,5,6,90.0,70,21.0
Yipeng Wang,298,4,1,5,5,86.96,123,24.0
Jonny McKoy,50,3,0,4,1,100.0,51,21.0
Bryan Walsh,6066,47,24,3,2,91.18,320,168.0
Johnny Bansfield,764,6,4,3,2,88.52,69,96.0
Jacob Yant,34,2,0,3,1,100.0,58,13.0
Kevin Anthony,979,11,5,3,3,85.57,165,49.0
Kevin van Roosmalen,251,4,2,3,2,76.47,92,20.0
Sawyer Fil,210,3,1,3,3,83.33,65,29.0
Tyler Mitchuson,118,4,0,2,1,33.33,107,2.0
Cameron Brock,4814,79,23,71,2,96.41,324,173.0
Keegan North,5518,75,25,59,8,91.59,263,211.0
Levi Jacobs,5559,74,23,53,3,90.46,296,182.0
Xavier Payne,2552,43,12,38,12,93.38,301,94.0
Jeremy Keusch,3087,36,18,35,5,98.25,275,131.0
Carter Rae,5478,49,39,30,4,94.99,253,222.0
Rick Gross,4157,43,18,29,1,94.51,285,149.0
Jacob Fella,1729,22,7,27,9,95.29,320,61.0
Fletcher Hare,1126,13,3,20,9,97.22,168,80.0
Nick Hutton,1005,12,4,20,14,90.0,178,60.0
Lucas Coniaris,5153,30,34,12,3,96.55,301,173.0
Mason Zetsch,391,9,3,12,5,95.24,107,49.0
Carter Hawkins,719,8,5,11,3,97.53,97,88.0
Dan Cunningham,474,11,5,9,1,92.86,159,35.0
Jeffrey Burris,620,7,3,9,4,86.96,109,53.0
Luke Huffman,340,8,3,8,2,97.92,158,29.0
Colin Ringwood,422,7,5,6,1,94.44,147,33.0
Adrian Golay,302,5,4,5,1,92.86,81,43.0
Ben Landry,2037,12,17,5,2,95.63,197,104.0
Seth Gudeman,532,2,3,5,5,93.1,118,46.0
Michael Kiyoi,3622,55,12,42,3,93.28,240,159.0
Sam Cook,3419,42,19,38,2,96.93,237,163.0
Everest Shapiro,2179,35,7,32,5,94.06,141,171.0
Aaron Weaver,3307,30,26,23,5,95.76,201,175.0
Marcel Osborne,3049,40,13,22,0,90.05,162,177.0
Brandon Van Deusen,5957,51,36,20,4,93.24,258,222.0
KJ Koo,1642,23,10,20,8,91.4,115,147.0
Mitchell Steiner,2087,18,13,18,10,92.61,267,79.0
Nate Ransom,1936,22,8,9,2,93.55,165,116.0
Eddie Finley,417,5,3,8,8,85.71,153,27.0
Eric Hurd,330,7,0,7,1,92.86,49,77.0
Rhys Gretsch,989,13,2,7,3,87.34,100,87.0
Garrett Santi,664,8,0,6,4,84.21,212,26.0
Andrew Padula,723,10,4,5,4,92.5,185,39.0
Jake Shoyer,520,5,3,5,1,96.67,48,119.0
Seamus Robinson,244,4,0,5,1,100.0,59,54.0
Kevin Goldberg,1258,9,8,4,3,92.92,120,100.0
Kyle Johnson,172,4,1,4,1,92.31,58,35.0
Landon Shank,751,7,7,4,2,90.91,68,105.0
Hudson Stuck,41,2,0,3,1,100.0,29,29.0
Sterling Knoche,2002,40,5,41,6,96.59,190,130.0
Kevin Pettit-Scantling,2852,39,14,33,10,92.31,242,122.0
Jack Kelly,1556,29,12,27,4,94.51,151,121.0
Luke Marks,804,15,4,25,14,94.12,177,59.0
Jake Rubin-Miller,1189,18,2,22,10,92.0,172,75.0
Matt Tucker,632,13,1,21,13,86.21,195,36.0
Thomas Coolidge,1709,22,11,20,4,94.83,132,142.0
Joshua Wilson,3798,31,27,16,2,95.38,207,187.0
Victor Luo,4607,41,26,15,3,92.72,188,233.0
Avery Johnson,1331,20,9,13,1,93.14,135,103.0
Kelsen Alexander,1437,16,11,11,2,95.71,151,102.0
Daniel Garlock,1468,13,6,10,2,94.64,132,113.0
Jack Nelson,272,5,0,10,7,86.67,123,25.0
Andrew Meshnick,1568,17,3,9,6,86.27,186,71.0
Ian McCosky,944,8,15,9,4,97.62,146,76.0
Jacob Wham,1219,15,6,9,1,88.33,159,70.0
Chase Marty,331,7,2,8,3,95.24,102,41.0
Kai DeLorenzo,2688,21,14,8,5,88.03,149,154.0
John Tan,183,4,1,6,2,100.0,49,56.0
Kai Marcus,1021,13,1,6,0,87.67,32,276.0
Quinn Snider,3305,56,15,57,9,94.56,252,151.0
Bryan Vohnoutka,4117,64,30,53,14,89.93,300,139.0
Dylan DeClerck,1627,40,7,53,19,90.32,288,69.0
Michael Jordan,2091,40,8,35,2,96.94,166,152.0
Bret Bergmeier,1643,30,10,33,9,93.1,174,109.0
Cole Jurek,3498,42,20,30,4,94.22,213,172.0
Paul Krenik,1130,26,4,26,4,98.18,157,95.0
Brandon Matis,777,14,4,25,14,93.33,220,46.0
Josh Klane,4431,44,24,24,2,92.79,239,181.0
Marty Adams,2741,28,21,23,6,94.76,231,126.0
Rocco Linehan,2038,28,9,21,6,88.24,176,108.0
Abe Coffin,3266,33,27,20,14,89.49,294,104.0
Jordan Taylor,1121,17,4,18,2,98.46,154,89.0
Colin Berry,847,12,6,14,6,93.62,95,101.0
William Brandt,1628,23,12,14,1,95.03,128,137.0
Isaac Leonard,468,7,0,11,4,100.0,94,66.0
Sam Ward,482,10,1,11,5,85.0,109,44.0
Tony Poletto,2525,23,12,11,3,95.69,187,138.0
Ian Hahn,595,6,5,10,5,100.0,134,57.0
Tristan Van de Moortele,1271,13,13,10,7,93.78,210,64.0
Malik Auger-Semmar,2933,41,13,34,8,89.86,195,148.0
Kevin Quinlan,4329,58,12,32,3,87.08,275,138.0
Nabil Chaouch,2645,39,12,26,1,90.83,215,121.0
Quentin Bonnaud,1457,26,3,25,3,95.52,109,156.0
Jakob Brissette,6422,49,43,23,8,92.2,290,209.0
Charles Asselin,2078,22,11,20,16,88.59,243,80.0
Christophe Tremblay-Joncas,889,14,8,17,8,90.74,142,69.0
Miguel Goderre,3297,29,16,17,6,95.64,268,127.0
Julien Sénéchal,1349,15,8,16,5,95.77,216,69.0
Sacha Poitte-Sokolsky,1064,14,6,15,5,95.52,64,189.0
Ywan Cohonner,385,11,1,14,7,91.67,109,46.0
Jacob Duquette,2262,26,17,12,4,90.43,206,103.0
Felix Leonard,1546,15,13,8,0,91.85,154,97.0
Hayden Stone,1448,16,12,8,0,92.59,153,93.0
Vincent Genest,696,10,2,7,4,86.05,161,38.0
Julien Bernat,773,9,4,6,0,94.44,169,47.0
Thomas Lalonde-Landry,502,9,2,6,6,76.47,180,21.0
Antoine Rousseau,1271,7,9,5,9,92.26,237,51.0
Simon Charette,301,4,3,4,1,100.0,98,39.0
Olivier Bastien,119,1,2,3,3,100.0,72,24.0
Ryan Osgar,7247,115,45,103,2,96.96,305,280.0
Ben Jagt,5027,87,23,76,11,89.37,359,142.0
Jeff Babbitt,3397,61,11,64,8,97.27,293,143.0
John Lithio,4520,64,20,57,4,95.37,273,184.0
Jack Williams,5270,59,43,48,6,95.5,270,212.0
Charles Weinberg,2937,39,23,33,5,95.91,191,173.0
Ben Katz,1840,27,15,32,16,95.85,243,91.0
Matt Stevens,862,26,3,29,4,100.0,220,59.0
Antoine Davis,1882,27,6,28,11,88.51,252,73.0
Mike Drost,629,15,8,24,10,100.0,201,50.0
Marques Brownlee,1412,19,8,21,14,83.53,252,50.0
Solomon Rueschemeyer-Bailey,3683,22,37,21,3,98.98,252,163.0
Elliott Chartock,5138,43,40,20,0,96.6,286,188.0
Ryan Drost,335,8,4,20,12,100.0,134,47.0
John Randolph,1364,18,14,18,5,95.18,132,118.0
Ethan Fortin,1114,16,10,15,4,95.73,218,59.0
Jibran Mieser,725,13,2,15,4,90.91,120,66.0
Ryan Holmes,658,9,2,15,8,95.45,170,47.0
Matt LaBar,526,8,3,12,4,100.0,92,77.0
Oliver Chartock,718,10,6,12,6,93.15,112,72.0
Chris Lung,4601,62,16,43,11,89.71,237,185.0
Keenan Laurence,3367,43,16,37,9,91.86,199,172.0
Max Williams,2700,42,16,35,3,94.49,235,127.0
Gavin May,1648,27,14,28,5,97.03,219,92.0
Justin Norden,5141,55,26,28,3,93.16,205,247.0
Evan Magsig,2991,38,21,27,6,94.89,206,156.0
Morgan Sommer,3178,34,19,22,0,93.92,251,129.0
Matthew Crawford,1915,27,11,20,2,91.97,154,127.0
Wyatt Berreman,1246,15,5,19,15,87.5,220,55.0
Benjamin Sokolowsky,2120,23,14,16,2,96.63,242,95.0
Ryan Shephard,814,11,2,15,8,93.88,153,60.0
Robin Vickers Batzdorf,1847,17,15,15,6,96.19,212,95.0
Patrick Xu,421,7,1,13,6,100.0,95,64.0
Brandon Fein,1277,11,6,10,6,91.82,180,69.0
Ashton Paulus,723,6,2,7,4,94.29,95,79.0
Thomas Page,774,9,5,6,3,88.68,156,46.0
Alex Pien,875,13,4,5,3,84.0,135,53.0
Matthew Burke,704,8,5,5,1,92.31,137,51.0
Matthew Kissmann,2278,13,22,5,0,97.17,167,142.0
Shane Earley,643,7,2,5,1,87.5,73,78.0
James Pollard,5806,82,22,62,14,87.8,285,189.0
Sean Mott,5332,79,31,56,8,93.1,305,184.0
Greg Martin,3319,62,18,49,3,90.48,254,136.0
Jordan Rhyne,5588,54,32,29,3,94.72,226,251.0
Brandon Pastor,2434,29,16,28,5,94.93,241,110.0
Max Trifillis,1102,18,4,24,11,91.84,177,71.0
Paul Owens,1163,16,11,21,13,95.1,222,63.0
Alex Thorne,3806,31,23,18,2,95.16,191,202.0
Matt Hanna,915,17,5,16,2,93.75,103,102.0
Dmitry Suvorov,1223,16,10,15,1,97.5,106,135.0
Matt Esser,544,13,0,15,3,97.92,111,66.0
Gavin Abrahamsson,519,8,2,13,7,95.83,124,53.0
Mike Campanella,807,10,2,13,8,91.3,181,47.0
Eric Witmer,1173,12,11,10,12,91.3,273,43.0
Anthony Prato,1718,17,12,9,4,95.35,207,86.0
Eric Nardelli,642,10,7,8,7,90.7,202,34.0
Mike Arcata,886,14,3,8,4,81.54,90,78.0
Austin Lillis,540,6,3,7,3,93.62,134,43.0
Dustin Damiano,2377,16,27,7,3,94.74,181,132.0
Brice Dunn,887,9,2,6,1,93.1,115,76.0
Thomas Edmonds,3901,52,14,46,7,95.92,214,202.0
Max Sheppard,4650,66,19,45,11,87.31,319,133.0
CJ Colicchio,3942,50,23,33,11,92.0,259,152.0
Jimmy Towle,2825,30,15,25,5,95.03,229,131.0
Anson Reppermund,2044,27,13,21,9,87.74,232,82.0
Connor Newell,3022,31,22,20,6,94.46,211,148.0
Pete Zaccardi,1777,21,10,19,7,94.52,196,98.0
Chris Graber,356,11,1,16,5,100.0,78,75.0
Anthony Davis,697,9,3,13,7,91.18,140,54.0
Clint McSherry,3922,32,28,13,3,93.2,178,213.0
Ian Engler,2494,15,10,8,2,96.42,117,215.0
Martin Bustamante,929,11,3,7,2,95.0,117,83.0
Ramzi Cope-Musleh,338,5,3,7,2,100.0,111,41.0
Cam Bellando,338,8,2,6,5,80.0,109,27.0
Kenny Furdella,779,12,4,6,0,93.98,85,95.0
Andrew Thompson,504,9,4,5,2,95.65,101,57.0
Charlie Vukovic,529,5,1,5,5,94.29,118,47.0
Kevin Nicholl,177,4,0,5,1,100.0,42,59.0
Matthew Montera,176,3,0,5,2,100.0,84,29.0
Steve Mogielski,727,6,6,4,5,87.76,154,42.0
Leandro Marx,7786,108,38,85,9,90.63,374,206.0
Jake Johnson,2763,43,12,26,6,89.05,311,84.0
Daniel Lee,1243,17,6,25,8,100.0,81,201.0
Brian Stout,1486,20,10,23,7,94.55,129,131.0
Eli Friedman,3800,38,27,20,2,93.24,185,203.0
Josh Moore,1206,17,8,18,5,93.33,150,88.0
Ke'ali McCarter,1194,11,2,18,17,85.0,217,49.0
Raphy Hayes,2303,27,10,17,5,86.46,114,175.0
Jack Hatchett,1189,20,3,16,6,81.63,88,112.0
Tom Doi,1088,18,2,11,1,88.89,82,125.0
Jon Snyder,1365,17,13,10,3,92.13,134,103.0
Martis Artis,316,3,1,6,5,93.75,122,29.0
Scott Radlauer,848,9,0,6,8,80.77,193,33.0
Felix Moren,750,7,2,4,2,91.89,61,116.0
Timmy Perston,499,9,1,4,0,66.67,136,19.0
Julián Bonilla,138,4,0,3,1,93.33,54,31.0
Joel Caswell,159,4,0,3,1,100.0,60,35.0
Quinn Buermeyer,1508,13,4,3,3,90.74,208,65.0
Ben Travers,93,1,1,2,1,100.0,71,18.0
Cole Eustis,295,3,2,2,2,90.48,77,37.0
Jordan Kerr,6577,121,27,98,3,92.99,324,222.0
Joe Merrill,4433,67,23,69,12,97.18,330,160.0
Chad Yorgason,3689,54,16,51,17,86.78,361,96.0
Jacob Miller,4633,41,27,37,11,95.06,327,148.0
Joel Clutton,1294,18,3,33,15,100.0,213,83.0
Sean Connole,6612,55,27,26,2,91.98,258,239.0
Kyle Weinberg,1524,18,7,23,18,85.71,200,71.0
Jensen Wells,2144,27,14,21,2,96.69,172,139.0
Tony Mounga,974,16,2,21,6,92.86,159,70.0
Brandon Jordan,2163,28,11,20,10,86.36,227,85.0
Devon Terry,1351,19,5,20,10,89.36,211,64.0
Luke Yorgason,4584,35,42,20,5,96.24,309,155.0
Jace Duennebeil,831,18,3,18,3,87.5,107,80.0
Ben Green,561,5,2,15,15,86.21,92,63.0
Ben Hoffman,615,12,3,14,2,100.0,67,125.0
Garrett Martin,1481,24,4,12,3,87.1,222,60.0
Nathan Huff,875,11,7,12,4,93.33,127,75.0
Will Selfridge,1032,15,6,12,0,98.18,66,184.0
Kevin Farrell,478,10,2,11,3,90.48,119,45.0
Porter Oyler,702,8,6,10,7,88.89,129,54.0
Sean McDougall,3850,72,19,67,10,91.76,279,151.0
Travis Dunn,5588,82,21,61,4,92.64,280,206.0
Hunter Corbett,2791,48,24,40,5,93.88,229,137.0
Jonathan Helton,3550,47,16,33,5,92.64,199,181.0
Kyle Rubin,2829,39,18,32,3,92.31,252,116.0
Paul Lally,6558,52,46,27,10,94.32,312,209.0
Jordan Queckboerner,1108,12,3,22,15,89.39,186,62.0
Tim Okita,3588,38,27,20,1,96.69,272,141.0
Steven Milardovich,1413,19,8,18,9,91.94,192,77.0
Trevor Purdy,717,9,5,18,11,93.75,138,63.0
Jesse Cohen,1246,20,7,17,1,95.31,110,128.0
Michael Tran,1131,12,7,14,10,93.96,202,61.0
Stefan Samu,654,9,4,13,8,91.43,111,65.0
Reggie Sung,466,7,1,9,6,73.91,135,25.0
Chris Mazur,1120,13,10,7,3,90.68,121,89.0
Bryce Lozinski,1393,13,8,6,4,91.85,233,57.0
Jeffrey Silverman,120,2,1,6,5,93.33,92,20.0
Tyler Bacon,949,10,7,5,9,87.5,174,49.0
Collin Gall,227,7,0,4,0,81.82,50,40.0
Elliot Warner,1120,6,10,4,4,93.62,156,70.0
Drew Swanson,1157,17,4,22,10,87.5,134,86.0
Tarik Akyuz,3288,32,13,22,13,89.39,229,131.0
Jack Brown,2128,28,7,21,2,89.66,143,142.0
Declan Miller,3516,35,17,20,5,90.24,147,221.0
Spencer Lofink,1820,28,3,20,6,89.23,148,118.0
Zeppelin Raunig,1651,25,7,20,5,95.24,163,113.0
Adam Simon,2531,25,11,19,2,94.15,95,271.0
Ryan Shigley,1639,19,7,16,7,93.98,160,107.0
Aidan Lopez-Escarez,535,7,2,15,15,85.0,179,31.0
Kenny Lane III,3011,25,25,15,0,96.87,210,152.0
Noah Coolman,1102,16,4,15,9,85.71,111,91.0
Jamie Kauffman,592,11,5,14,7,90.48,149,46.0
Shane Worthington,978,9,5,13,11,85.71,172,51.0
Chris Roach,1457,23,7,12,5,71.43,218,41.0
Peter Geertz-Larson,1371,21,6,11,2,86.79,166,74.0
Matthew Rehder,812,11,1,10,4,88.89,42,185.0
Jeff Zhao,2386,18,19,9,7,93.91,175,135.0
Leander Ramirez,1349,13,9,9,1,93.33,85,159.0
Marc Munoz,2487,21,20,9,5,90.42,208,110.0
Dennis Casio,1852,12,12,8,2,95.67,124,152.0
James Lewis,5237,74,17,64,11,92.17,312,173.0
Ryan Poloz,4131,59,22,41,2,95.08,215,208.0
Oscar Stonehouse,3136,43,8,39,3,94.34,234,144.0
Phil Turner,2463,27,14,38,24,89.39,292,85.0
Wilkie Lewis,2765,37,19,28,6,90.68,272,101.0
Keith McRae,2202,30,14,25,2,94.44,191,125.0
Zachary Armstrong,754,12,3,20,13,85.71,222,35.0
Luc Comire,6434,42,39,14,3,93.78,301,204.0
David Petsinis,828,11,6,10,3,93.1,147,60.0
Eli Park,2878,22,17,10,9,88.76,262,96.0
Kelvin Huang,612,14,1,10,1,75.0,117,38.0
Kevin Jay,1360,15,4,9,1,92.16,171,77.0
Chris Chan,1105,7,8,7,3,97.39,214,56.0
Jared Canfield,230,5,0,6,1,100.0,80,40.0
Travis Puckrin,580,8,3,5,5,84.62,116,43.0
Adam O'Donnell,2864,19,16,4,1,94.97,236,118.0
Cameron Knox,113,3,0,4,1,100.0,57,30.0
Jared Morrow,76,1,1,3,5,77.78,105,7.0
Rui Carvalho,355,4,2,3,0,94.74,48,78.0
Adam Turcotte,2640,18,16,1,7,89.27,203,111.0
Brett Hulsmeyer,5232,57,21,53,18,94.08,306,179.0
Matt Smith,3383,54,12,53,0,97.52,187,216.0
Dean Ramsey,1733,32,6,43,13,93.02,243,85.0
Justin Burnett,960,18,4,32,21,89.8,191,61.0
Austin Taylor,5358,53,38,31,0,95.15,267,208.0
Bobby Ley,4688,48,25,28,3,94.85,259,186.0
Liam Haberfield,2438,31,13,28,3,97.01,144,192.0
Christian Olsen,3634,35,31,26,3,97.51,228,176.0
Max Thorne,2296,28,16,26,1,98.84,131,207.0
Jeremy Langdon,1758,26,9,24,7,93.64,170,113.0
JP Burns,1512,29,11,23,4,90.0,251,63.0
Lukas McClamrock,843,18,12,16,5,90.91,81,119.0
Trip Crowley,661,15,2,14,2,85.19,76,85.0
Bradley Seuntjens,462,6,6,13,9,94.23,186,32.0
Jakeem Polk,555,12,0,12,6,84.21,183,29.0
Kennith Taylor,692,9,5,12,6,96.36,111,75.0
Tanner Robinson,376,11,3,10,5,85.37,94,43.0
Bradley Fleming,287,7,1,9,3,96.55,104,38.0
Mischa Freystaetter,1167,10,5,9,3,94.12,85,140.0
Tyler Randall,360,7,6,9,3,97.5,106,47.0
Evan Swiatek,6065,86,28,77,9,93.75,346,189.0
Joey Wylie,2750,37,17,45,18,95.12,323,98.0
Kyle Henke,5741,64,31,40,9,91.24,353,157.0
Mark Evans,5939,60,28,35,8,90.72,314,177.0
Duncan Fitzgerald,5154,61,31,31,8,92.8,315,163.0
Mark Henke,1112,25,10,31,8,98.25,216,72.0
Reese Bowman,1939,30,5,28,8,91.94,255,80.0
Eric Brodbeck,1917,28,11,27,9,92.14,222,92.0
Elliott Moore,1720,29,7,22,7,90.0,200,87.0
Noah Chambers,2115,25,8,21,1,93.33,234,93.0
Oliver Fay,1148,18,9,21,9,90.0,231,53.0
Matthew Armour,2050,27,12,20,9,90.07,238,84.0
Jackson Potts,1560,21,6,18,9,89.57,227,67.0
Mick Walter,905,12,9,17,10,93.22,191,55.0
Joshua Zdrodowski,593,14,1,16,5,86.96,120,53.0
Brandon Dial,467,10,2,15,6,97.22,131,50.0
Michael Matthis,1039,16,6,12,2,93.94,145,78.0
Shane Worthington,367,8,2,8,3,86.96,87,44.0
Eric Carter,671,7,6,7,3,97.59,119,65.0
Chris Cassella,366,7,0,5,2,83.72,52,61.0
Simon Carapella,2971,45,12,36,4,92.25,209,148.0
Ray Tetreault,3013,41,15,33,3,95.24,198,166.0
Rocco Linehan,2097,29,10,25,12,90.07,206,101.0
Tanner Halkyard,2937,38,12,25,5,86.4,201,128.0
Topher Davis,1313,22,5,21,4,94.25,140,106.0
Orion Cable,1470,27,5,20,3,86.79,106,131.0
Chris Bartoli,578,12,3,19,10,92.59,167,45.0
Gustav Haflin,738,7,6,15,10,95.45,194,46.0
Benjamin Sadok,4022,29,14,14,3,94.99,175,226.0
Tyler Chan,2113,19,12,14,7,91.34,147,138.0
Colin Sunde,2231,19,13,12,1,95.88,146,158.0
Phillip Joyce,349,10,1,12,11,73.08,146,20.0
Brendan McCann,879,15,5,11,5,88.52,140,62.0
Cole Davis-Brand,3682,28,27,11,3,93.17,191,185.0
Jac Carreiro,427,7,1,11,5,93.75,64,81.0
Stewart Kelley,259,7,0,11,5,71.43,97,22.0
Gabe Colton,471,8,2,9,3,91.3,108,48.0
Jay Clark,1350,13,5,9,1,93.75,84,160.0
Nathanial Dick,747,8,11,6,2,94.94,111,74.0
Oscar Graff,248,6,2,6,4,73.91,98,20.0
Jacob Fairfax,4586,45,15,44,10,95.26,273,178.0
Trevor Lynch,4210,43,24,31,7,93.38,267,159.0
Suraj Madiraju,1966,33,16,30,6,94.74,254,89.0
Joe White,2408,34,9,26,1,92.72,95,261.0
Anders Juengst,3193,41,16,23,1,94.35,254,130.0
Terrence Mitchell,1324,21,4,23,10,90.0,207,67.0
Alex Davis,1699,23,13,22,6,95.18,136,141.0
Sol Yanuck,4428,48,17,21,2,92.92,240,179.0
Tobias Brooks,1689,22,9,19,1,95.06,158,116.0
Elijah Long,4164,37,40,17,4,95.28,243,177.0
Liam Searles Bohs,1598,17,10,17,2,97.96,82,223.0
Ty Naquin,525,11,2,14,3,100.0,111,66.0
Matthew Mcknight,1474,19,4,13,1,96.06,105,151.0
Matt Tucker,351,7,1,13,7,100.0,150,36.0
Ethan Bloodworth,1036,14,9,12,3,92.31,168,65.0
Connor Russell,1064,13,2,10,5,85.19,182,50.0
Matt Gouchoe-Hanas,1401,13,14,10,1,98.13,120,131.0
William Coffin,825,14,1,10,1,84.85,191,38.0
Andrew McKelvey,512,10,2,9,4,75.0,122,31.0
Kevin Pignone,1149,13,6,9,0,94.92,115,105.0
Andrew Sjogren,4749,56,28,47,4,95.67,248,208.0
Jake Steslicki,1890,33,16,30,10,94.89,226,98.0
Jack Shanahan,3880,47,15,29,7,90.32,225,163.0
Jace Bruner,873,16,7,26,15,94.38,217,53.0
Benjamin Preiss,2902,39,8,25,4,91.75,217,132.0
Jesse Johnson,1441,23,6,24,6,97.0,181,96.0
Didzis Malderis,808,17,3,19,6,91.8,170,55.0
Asher Lantz,523,7,3,15,11,94.59,161,42.0
Nico Lake,2647,24,7,15,2,96.19,174,157.0
Ross Barker,2160,22,10,15,5,90.85,129,159.0
Charlie Furse,416,7,3,10,4,93.62,95,53.0
Nick Pappas,783,11,2,10,5,89.58,122,63.0
Jerry Kelly,273,5,3,9,5,98.04,87,46.0
Luke Brennan,1072,13,4,9,7,88.42,129,77.0
Dex Dremann,1187,15,9,8,7,91.79,150,79.0
Axel Agami,417,7,3,6,2,92.31,47,96.0
Paul Arters,2378,24,12,5,1,91.23,152,143.0
Wyatt Mekler,1501,12,9,5,3,94.9,119,126.0
Christian Johnson,1166,11,4,4,2,84.13,80,114.0
John Jones,155,2,1,4,2,92.86,72,26.0
Quinn Finer,5961,64,35,47,3,95.05,299,210.0
Jay Froude,3671,44,23,39,10,94.78,267,149.0
Alex Atkins,5164,51,22,38,8,95.02,220,243.0
Noah Coolman,1718,28,6,32,12,92.66,178,108.0
Cody Spicer,2167,32,21,31,11,95.04,247,101.0
Matt Jackson,2955,37,25,30,3,95.78,255,129.0
Jonathan Nethercutt,3206,40,12,19,3,91.21,138,221.0
Seth Faris,795,15,4,19,7,94.23,147,66.0
Alex Tatum,1870,22,6,18,4,92.91,145,131.0
Calvin Stoughton,1463,21,5,17,1,93.98,98,159.0
Justin Abel,1335,20,8,17,6,93.08,198,73.0
Sam Goldstein,3156,29,20,17,0,97.22,221,153.0
Thomas Brewster,1058,19,4,17,3,94.74,141,86.0
Tyler Nguyen,653,12,4,17,7,94.44,165,50.0
Saeed Semrin,780,10,6,16,12,84.09,104,71.0
Mathieu Agee,1197,17,7,15,5,87.18,129,87.0
Sandy Brown,453,7,2,15,10,96.08,90,69.0
Connor Olson,1757,19,10,12,3,96.38,179,105.0
Nicholas Snuszka,406,5,1,11,7,95.83,151,34.0
Kai Marshall,695,10,4,9,4,92.5,97,76.0
Tyler Monroe,4078,57,25,47,0,96.06,229,200.0
Benjamin Oort,2897,47,16,41,2,95.83,174,191.0
Christian Boxley,3680,50,36,41,2,96.07,232,180.0
Jonny Malks,6321,62,28,41,6,95.22,258,253.0
Thomas Edmonds,2628,35,12,37,7,98.14,229,137.0
Jeff Wodatch,2762,33,8,33,2,98.25,183,174.0
Alexandre Fall,1020,25,3,29,7,97.14,197,70.0
Andrew Roy,4812,31,29,24,2,98.26,237,218.0
Moussa Dia,719,15,4,24,12,93.62,201,47.0
Joe Merrill,680,12,4,23,12,96.43,140,68.0
Kevin Healey,1798,24,6,22,3,93.98,138,139.0
Cole Jurek,2750,27,9,21,1,98.4,156,195.0
