Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,AST/POS %,GLS/POS %,SCR/POS %,CMP/POS,BLK/PP %,PM/PP,TY/POS,RY/POS,Y/POS,HA/POS %,T/POS %,Y/CMP,team_avg_min,SCR_adj,BLK_adj,+/-_adj,Y_adj,HA_adj,Cmp_adj,AST_adj,GLS_adj,T_adj,TY_adj,RY_adj,Y/CMP_adj,MP_adj,SCR_Z,BLK_Z,PM_Z,Y_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,YperCMP_Z,MP_z,Offensive_Value,Score,team_avg_scr
Axel Agami,3,47,38,7,4,3,2,6,48,92.31,417,173,244,52.63,3,3,0,0,0,0,0.00,0,7,40,65,union,2023,10.53,7.89,18.42,1.26,4.26,0.13,5.0,6.0,11.0,7.89,7.89,8.69,181.0,1.79,0.4,0.14,10.86,0.65,1.23,0.79,0.88,0.65,4.6,6.37,2.06,23.49,2.03,1.82,0.37,0.12,2.12,1.14,2.07,1.96,2.14,0.29,-0.07,0.33,-1.12,1.93,-0.35,-0.21,-0.038
Paul Arters,7,152,192,24,14,10,1,5,208,91.23,2378,1561,817,47.4,12,16,0,4,0,8,47.06,1,151,1,182,union,2023,7.29,5.21,12.5,1.08,0.66,0.03,8.0,4.0,12.0,6.25,8.33,11.43,181.0,0.48,0.08,0.03,12.32,0.19,1.08,0.22,0.23,0.21,8.05,4.3,0.46,5.72,-0.58,-0.82,-1.57,0.49,-0.52,0.77,-0.53,-0.63,-0.35,-0.51,0.95,-0.3,-0.71,-0.6,-0.3,-0.301,-0.038
Wyatt Mekler,7,119,149,12,7,5,3,5,186,94.9,1501,864,637,44.3,9,8,0,2,1,2,66.67,0,119,0,156,union,2023,4.7,3.36,8.05,1.25,2.52,0.04,6.0,4.0,10.0,6.04,5.37,8.07,181.0,0.53,0.12,0.03,10.07,0.22,1.24,0.24,0.26,0.21,5.77,4.33,0.57,7.15,-0.48,-0.49,-1.57,-0.08,-0.35,1.17,-0.44,-0.51,-0.35,-0.5,0.28,-0.67,-1.21,-0.4,-0.06,-0.056,-0.038
Christian Johnson,4,80,109,11,5,6,2,4,53,84.13,1166,446,720,33.03,4,6,0,3,0,1,33.33,0,76,4,94,union,2023,4.59,5.5,10.09,0.49,2.5,0.05,4.0,7.0,11.0,3.67,5.5,22.0,181.0,0.71,0.15,0.04,10.67,0.25,0.51,0.31,0.36,0.27,4.13,6.58,0.89,9.11,-0.12,-0.24,-1.4,0.07,-0.18,-0.63,-0.12,-0.11,-0.01,0.37,-0.2,-2.02,0.86,-0.12,-0.5,-0.36,-0.038
John Jones,9,72,40,2,0,2,2,4,13,92.86,155,66,89,52.5,1,0,0,0,0,0,--,0,0,72,94,union,2023,0.0,5.0,5.0,0.32,2.78,0.06,2.0,2.0,4.0,2.5,0.0,11.92,181.0,1.6,0.38,0.09,4.56,0.58,0.4,0.67,0.82,0.56,2.02,2.64,2.04,23.09,1.65,1.66,-0.51,-1.5,1.72,-0.91,1.52,1.72,1.63,-1.16,-0.83,0.31,-0.64,1.87,-0.39,-0.281,-0.038
Quinn Finer,13,299,352,64,35,29,3,47,403,95.05,5961,2720,3241,55.68,35,16,0,4,0,24,77.42,0,266,33,330,apex,2023,9.94,8.24,18.18,1.14,1.0,0.16,8.0,9.0,17.0,9.94,4.55,14.79,196.0,0.38,0.05,0.13,16.84,0.17,1.14,0.18,0.18,0.11,7.69,9.16,0.27,3.57,-0.78,-1.06,0.19,1.65,-0.63,0.92,-0.72,-0.83,-0.92,1.38,0.84,0.69,-0.21,-0.91,1.01,1.311,0.185
Jay Froude,13,267,313,44,19,25,10,39,218,94.78,3671,1079,2592,55.27,23,11,0,4,0,5,50.00,0,252,15,276,apex,2023,6.07,7.99,14.06,0.7,3.75,0.15,3.0,8.0,12.0,7.35,3.51,16.84,196.0,0.36,0.08,0.12,11.7,0.15,0.7,0.15,0.19,0.11,3.47,8.25,0.3,3.84,-0.82,-0.82,0.01,0.33,-0.75,-0.17,-0.85,-0.79,-0.92,1.02,-0.4,0.64,0.09,-0.87,0.35,0.415,0.185
Alex Atkins,10,220,249,51,25,26,8,38,439,95.02,5164,2952,2212,55.82,22,20,0,1,0,20,68.97,9,201,19,242,apex,2023,10.04,10.44,20.48,1.76,3.64,0.17,12.0,9.0,21.0,8.84,8.03,11.76,196.0,0.48,0.09,0.15,20.53,0.19,1.75,0.22,0.24,0.18,11.72,8.83,0.36,4.67,-0.58,-0.73,0.54,2.6,-0.52,2.43,-0.53,-0.59,-0.52,1.25,2.03,0.71,-0.66,-0.75,0.86,0.956,0.185
Noah Coolman,13,178,117,28,12,16,12,32,101,92.66,1718,750,968,56.41,6,8,0,0,0,3,75.00,0,8,170,224,apex,2023,10.26,13.68,23.93,0.86,6.74,0.18,6.0,8.0,15.0,5.13,6.84,17.01,196.0,0.8,0.22,0.26,14.49,0.25,0.87,0.34,0.42,0.27,6.35,8.18,0.8,9.58,0.06,0.34,2.48,1.05,-0.18,0.25,0.02,0.13,-0.01,0.99,0.45,0.78,0.12,-0.05,0.26,0.278,0.185
Cody Spicer,10,247,173,32,25,7,11,31,249,95.04,2167,1677,490,56.07,21,12,0,0,0,7,77.78,0,45,202,285,apex,2023,14.45,4.05,18.5,1.44,4.45,0.13,10.0,3.0,13.0,12.14,6.94,8.7,196.0,0.57,0.15,0.17,12.46,0.26,1.43,0.31,0.24,0.21,9.56,2.92,0.5,6.91,-0.4,-0.24,0.89,0.53,-0.12,1.64,-0.12,-0.59,-0.35,-1.05,1.4,0.74,-1.11,-0.43,0.65,0.784,0.185
Matt Jackson,13,255,292,37,23,14,3,30,295,95.78,2955,1483,1472,57.19,25,10,0,0,0,6,46.15,0,221,34,290,apex,2023,7.88,4.79,12.67,1.01,1.18,0.12,5.0,5.0,10.0,8.56,3.42,10.02,196.0,0.36,0.06,0.1,10.12,0.17,1.01,0.18,0.16,0.12,5.08,5.06,0.3,4.16,-0.82,-0.98,-0.34,-0.07,-0.63,0.6,-0.72,-0.91,-0.86,-0.22,0.08,0.88,-0.92,-0.83,0.4,0.487,0.185
Jonathan Nethercutt,7,138,170,40,37,3,3,19,280,91.21,3206,2563,643,52.35,12,24,1,0,1,17,56.67,0,131,7,153,apex,2023,21.76,1.76,23.53,1.65,2.17,0.14,15.0,4.0,19.0,7.06,14.12,11.45,196.0,0.63,0.1,0.11,18.61,0.21,1.63,0.38,0.22,0.28,14.79,3.85,0.52,6.27,-0.28,-0.65,-0.16,2.1,-0.4,2.13,0.2,-0.67,0.04,-0.69,2.94,0.29,-0.71,-0.53,-0.18,-0.159,0.185
Seth Faris,12,147,90,15,3,12,7,19,49,94.23,795,79,716,51.11,4,3,0,0,0,2,66.67,125,15,132,169,apex,2023,3.33,13.33,16.67,0.54,4.76,0.13,1.0,8.0,9.0,4.44,3.33,16.22,196.0,0.89,0.23,0.2,8.89,0.31,0.57,0.35,0.49,0.29,1.09,7.85,1.01,11.73,0.24,0.42,1.42,-0.39,0.17,-0.49,0.06,0.41,0.1,0.87,-1.1,0.15,-0.0,0.25,0.11,0.102,0.185
Alex Tatum,9,145,109,22,9,13,4,18,118,92.91,1870,768,1102,51.38,6,7,0,1,0,6,75.00,0,11,134,185,apex,2023,8.26,11.93,20.18,1.08,2.76,0.12,7.0,10.0,17.0,5.5,6.42,15.85,196.0,0.81,0.17,0.16,16.84,0.27,1.08,0.34,0.42,0.28,6.96,9.93,0.84,9.91,0.08,-0.07,0.72,1.65,-0.06,0.77,0.02,0.13,0.04,1.67,0.63,0.18,-0.06,-0.01,0.35,0.34,0.185
Calvin Stoughton,4,98,113,21,7,14,1,17,78,93.98,1463,378,1085,61.06,5,4,1,1,0,2,100.00,0,94,4,103,apex,2023,6.19,12.39,18.58,0.69,1.02,0.17,3.0,10.0,13.0,4.42,3.54,18.76,196.0,0.77,0.14,0.14,12.82,0.25,0.7,0.31,0.42,0.25,3.42,9.45,0.84,8.88,0.0,-0.32,0.37,0.62,-0.18,-0.17,-0.12,0.13,-0.12,1.49,-0.41,1.34,0.38,-0.15,0.21,0.152,0.185
Justin Abel,13,198,158,20,10,10,6,17,121,93.08,1335,800,535,56.33,8,9,0,0,0,2,40.00,46,40,158,254,apex,2023,6.33,6.33,12.66,0.77,3.03,0.09,5.0,3.0,8.0,5.06,5.7,11.03,196.0,0.55,0.13,0.1,8.5,0.2,0.77,0.25,0.28,0.21,5.06,3.47,0.56,7.36,-0.44,-0.4,-0.34,-0.49,-0.46,0.01,-0.4,-0.43,-0.35,-0.84,0.07,0.77,-0.77,-0.37,-0.23,-0.262,0.185
Sam Goldstein,13,221,256,29,14,15,0,17,385,97.22,3156,2613,543,55.08,20,11,0,1,0,3,42.86,0,199,22,231,apex,2023,5.47,5.86,11.33,1.5,0.0,0.08,10.0,2.0,12.0,7.81,4.3,8.2,196.0,0.38,0.06,0.07,12.28,0.17,1.49,0.17,0.19,0.14,10.11,2.2,0.34,4.51,-0.78,-0.98,-0.87,0.48,-0.63,1.78,-0.76,-0.79,-0.75,-1.33,1.56,0.62,-1.19,-0.78,0.72,0.782,0.185
Thomas Brewster,9,141,152,19,7,12,3,17,72,94.74,1058,310,748,52.63,4,3,0,2,0,0,0.00,0,99,42,152,apex,2023,4.61,7.89,12.5,0.47,2.13,0.12,2.0,5.0,7.0,2.63,1.97,14.69,196.0,0.57,0.11,0.11,7.06,0.18,0.49,0.24,0.3,0.18,2.13,4.96,0.6,6.99,-0.4,-0.57,-0.16,-0.85,-0.58,-0.68,-0.44,-0.35,-0.52,-0.26,-0.79,0.33,-0.23,-0.42,-0.04,-0.035,0.185
Tyler Nguyen,13,165,110,12,4,8,7,17,34,94.44,653,87,566,56.36,4,2,0,0,0,0,--,0,3,162,192,apex,2023,3.64,7.27,10.91,0.31,4.24,0.1,1.0,5.0,6.0,3.64,1.82,19.21,196.0,0.71,0.19,0.15,6.11,0.25,0.34,0.3,0.37,0.23,0.97,5.18,0.86,9.89,-0.12,0.09,0.54,-1.1,-0.18,-1.05,-0.17,-0.07,-0.24,-0.17,-1.14,0.78,0.44,-0.01,-0.1,-0.099,0.185
Saeed Semrin,7,104,71,10,4,6,12,16,37,84.09,780,290,490,56.34,6,6,0,0,0,2,50.00,78,6,98,128,apex,2023,5.63,8.45,14.08,0.52,11.54,0.15,4.0,7.0,11.0,8.45,8.45,21.08,196.0,1.05,0.36,0.21,10.92,0.41,0.55,0.45,0.54,0.41,4.14,6.84,1.33,14.12,0.56,1.49,1.6,0.13,0.74,-0.54,0.52,0.61,0.78,0.47,-0.2,0.77,0.72,0.59,-0.63,-0.509,0.185
Mathieu Agee,9,129,123,17,3,14,5,15,34,87.18,1197,35,1162,55.28,7,5,0,2,0,0,0.00,0,77,52,139,apex,2023,2.44,11.38,13.82,0.28,3.88,0.12,0.0,9.0,10.0,5.69,4.07,35.21,196.0,0.68,0.16,0.12,9.74,0.25,0.3,0.26,0.38,0.23,0.47,9.31,0.9,8.47,-0.18,-0.16,0.01,-0.17,-0.18,-1.15,-0.35,-0.03,-0.24,1.43,-1.28,0.65,2.81,-0.21,-0.18,-0.152,0.185
Sandy Brown,7,90,54,7,3,4,10,15,49,96.08,453,260,193,40.74,2,2,0,0,1,1,100.00,0,1,89,104,apex,2023,5.56,7.41,12.96,0.91,11.11,0.17,5.0,4.0,8.0,3.7,3.7,9.24,196.0,1.31,0.42,0.25,8.53,0.46,0.92,0.56,0.66,0.46,4.83,3.78,1.51,17.78,1.08,1.99,2.3,-0.48,1.03,0.38,1.02,1.08,1.06,-0.71,0.0,-1.1,-1.03,1.12,-0.09,-0.066,0.185
Connor Olson,11,179,180,19,9,10,3,12,213,96.38,1757,973,784,53.89,10,8,0,2,0,3,42.86,22,117,62,192,apex,2023,5.0,5.56,10.56,1.18,1.68,0.07,5.0,4.0,10.0,5.56,4.44,8.25,196.0,0.48,0.1,0.06,9.77,0.19,1.18,0.21,0.24,0.18,5.39,4.4,0.48,6.15,-0.58,-0.65,-1.04,-0.16,-0.52,1.02,-0.58,-0.59,-0.52,-0.47,0.17,0.48,-1.18,-0.54,0.05,0.049,0.185
Nicholas Snuszka,12,151,89,5,1,4,7,11,23,95.83,406,106,300,47.19,1,1,0,0,0,0,--,0,3,148,174,apex,2023,1.12,4.49,5.62,0.26,4.64,0.07,1.0,3.0,5.0,1.12,1.12,17.65,196.0,0.8,0.23,0.12,4.85,0.28,0.3,0.33,0.41,0.28,1.39,3.51,1.04,11.9,0.06,0.42,0.01,-1.42,-0.0,-1.15,-0.03,0.09,0.04,-0.82,-1.01,-0.32,0.21,0.28,-0.48,-0.452,0.185
Kai Marshall,6,97,92,10,2,8,4,9,37,92.5,695,153,542,52.17,4,3,0,2,0,0,0.00,0,37,60,104,apex,2023,2.17,8.7,10.87,0.4,4.12,0.09,2.0,6.0,8.0,4.35,3.26,18.78,196.0,0.82,0.2,0.09,7.68,0.3,0.43,0.33,0.44,0.29,1.84,5.9,1.02,10.81,0.1,0.17,-0.51,-0.7,0.11,-0.83,-0.03,0.21,0.1,0.11,-0.88,0.27,0.38,0.12,-0.3,-0.219,0.185
Tyler Monroe,13,229,262,57,32,25,0,47,317,96.06,4078,1876,2202,63.74,25,10,0,0,0,5,62.50,0,229,0,265,breeze,2023,12.21,9.54,21.76,1.21,0.0,0.21,7.0,8.0,16.0,9.54,3.82,12.86,208.0,0.48,0.06,0.18,15.46,0.19,1.21,0.23,0.22,0.13,7.12,8.36,0.35,4.53,-0.58,-0.98,1.07,1.3,-0.52,1.09,-0.49,-0.67,-0.8,1.06,0.68,1.66,-0.5,-0.77,1.1,1.242,0.393
Benjamin Oort,10,174,188,47,22,25,2,41,184,95.83,2897,1005,1892,65.43,16,8,0,0,0,9,75.00,6,164,10,179,breeze,2023,11.7,13.3,25.0,0.98,1.15,0.24,5.0,10.0,15.0,8.51,4.26,15.74,208.0,0.61,0.09,0.21,15.27,0.21,0.98,0.27,0.31,0.17,5.34,9.96,0.5,5.82,-0.32,-0.73,1.6,1.25,-0.4,0.53,-0.3,-0.31,-0.58,1.69,0.15,1.86,-0.07,-0.59,0.96,0.891,0.393
Christian Boxley,12,232,257,50,17,33,2,41,269,96.07,3680,797,2883,61.09,36,11,0,0,0,0,0.00,0,219,13,263,breeze,2023,6.61,12.84,19.46,1.05,0.86,0.18,3.0,11.0,14.0,14.01,4.28,13.68,208.0,0.46,0.06,0.16,14.24,0.23,1.05,0.18,0.26,0.14,3.14,11.12,0.36,4.61,-0.62,-0.98,0.72,0.98,-0.29,0.7,-0.72,-0.51,-0.75,2.14,-0.5,1.34,-0.38,-0.76,0.84,0.945,0.393
Jonny Malks,14,258,301,62,29,33,6,41,558,95.22,6321,3721,2600,59.47,28,26,0,1,0,19,63.33,0,257,1,288,breeze,2023,9.63,10.96,20.6,1.85,2.33,0.16,12.0,9.0,21.0,9.3,8.64,11.33,208.0,0.43,0.07,0.13,20.82,0.17,1.84,0.19,0.22,0.17,12.24,8.59,0.3,4.03,-0.68,-0.9,0.19,2.67,-0.63,2.65,-0.67,-0.67,-0.58,1.15,2.19,1.15,-0.72,-0.85,0.8,0.941,0.393
Thomas Edmonds,13,229,180,35,22,13,7,37,264,98.14,2628,1612,1016,60.56,12,5,0,0,0,3,50.00,71,103,126,269,breeze,2023,12.22,7.22,19.44,1.47,3.06,0.16,9.0,6.0,15.0,6.67,2.78,9.95,208.0,0.57,0.12,0.2,14.48,0.2,1.45,0.28,0.26,0.16,8.85,5.65,0.49,6.56,-0.4,-0.49,1.42,1.05,-0.46,1.69,-0.26,-0.51,-0.63,0.01,1.19,1.28,-0.93,-0.48,1.2,1.365,0.393
Jeff Wodatch,12,183,207,33,20,13,2,33,168,98.25,2762,1114,1648,64.25,8,2,0,0,0,6,85.71,0,181,2,209,breeze,2023,9.66,6.28,15.94,0.81,1.09,0.18,5.0,8.0,13.0,3.86,0.97,16.44,208.0,0.49,0.08,0.16,13.26,0.16,0.82,0.24,0.23,0.13,5.37,7.92,0.45,5.44,-0.56,-0.82,0.72,0.73,-0.69,0.13,-0.44,-0.63,-0.8,0.89,0.16,1.72,0.03,-0.64,0.76,0.762,0.393
Alexandre Fall,13,197,118,25,5,20,7,29,34,97.14,1020,83,937,55.08,3,1,0,2,0,0,--,0,1,196,222,breeze,2023,4.24,16.95,21.19,0.29,3.55,0.15,1.0,8.0,9.0,2.54,0.85,30.0,208.0,0.77,0.18,0.24,8.7,0.23,0.32,0.28,0.45,0.21,0.88,7.86,0.89,9.49,0.0,0.01,2.13,-0.43,-0.29,-1.1,-0.26,0.25,-0.35,0.87,-1.16,0.62,2.04,-0.07,0.54,0.558,0.393
Andrew Roy,14,237,270,31,23,8,2,24,564,98.26,4812,3739,1073,62.59,29,9,1,0,0,2,100.00,0,230,7,262,breeze,2023,8.52,2.96,11.48,2.09,0.84,0.1,14.0,4.0,18.0,10.74,3.33,8.53,208.0,0.37,0.06,0.09,17.68,0.2,2.07,0.19,0.16,0.12,13.69,4.01,0.32,4.39,-0.8,-0.98,-0.51,1.87,-0.46,3.22,-0.67,-0.91,-0.86,-0.63,2.61,1.52,-1.14,-0.79,1.63,1.829,0.393
Moussa Dia,12,201,111,15,7,8,12,24,44,93.62,719,180,539,49.55,4,3,0,0,0,0,0.00,0,9,192,225,breeze,2023,6.31,7.21,13.51,0.4,5.97,0.12,2.0,5.0,6.0,3.6,2.7,16.34,208.0,0.73,0.23,0.21,6.63,0.25,0.42,0.32,0.37,0.24,1.77,4.91,0.83,10.09,-0.08,0.42,1.6,-0.97,-0.18,-0.86,-0.08,-0.07,-0.18,-0.28,-0.9,-0.04,0.02,0.02,-0.13,-0.135,0.393
Joe Merrill,10,140,88,12,3,9,12,23,27,96.43,680,124,556,55.68,4,1,0,0,0,0,--,0,5,135,157,breeze,2023,3.41,10.23,13.64,0.31,8.57,0.16,1.0,6.0,8.0,4.55,1.14,25.19,208.0,0.88,0.29,0.25,7.85,0.31,0.34,0.35,0.47,0.28,1.6,6.3,1.13,11.85,0.22,0.91,2.3,-0.65,0.17,-1.05,0.06,0.33,0.04,0.26,-0.95,0.69,1.33,0.27,0.14,0.122,0.393
Kevin Healey,9,138,145,24,5,19,3,22,78,93.98,1798,375,1423,64.83,6,5,0,0,0,0,--,0,112,26,159,breeze,2023,3.45,13.1,16.55,0.54,2.17,0.16,3.0,10.0,12.0,4.14,3.45,23.05,208.0,0.63,0.12,0.15,12.32,0.21,0.55,0.23,0.36,0.2,2.67,9.69,0.69,7.36,-0.28,-0.49,0.54,0.49,-0.4,-0.54,-0.49,-0.11,-0.41,1.58,-0.63,1.79,1.01,-0.37,0.2,0.175,0.393
Cole Jurek,9,156,179,27,12,15,1,21,185,98.4,2750,922,1828,55.87,9,3,0,4,0,4,80.00,0,156,0,176,breeze,2023,6.7,8.38,15.08,1.03,0.64,0.13,5.0,10.0,15.0,5.03,1.68,14.86,208.0,0.53,0.09,0.11,15.22,0.18,1.03,0.23,0.27,0.15,5.15,10.1,0.52,6.09,-0.48,-0.73,-0.16,1.24,-0.58,0.65,-0.49,-0.47,-0.69,1.74,0.1,0.72,-0.2,-0.55,0.78,0.717,0.393
Jasper Tom,10,143,89,16,2,14,11,20,65,90.28,1055,425,630,57.3,5,7,0,0,0,2,50.00,4,0,143,174,breeze,2023,2.25,15.73,17.98,0.73,7.69,0.14,5.0,7.0,12.0,5.62,7.87,16.23,208.0,0.91,0.28,0.21,11.76,0.32,0.74,0.34,0.52,0.34,4.79,7.02,1.02,11.9,0.28,0.83,1.6,0.35,0.23,-0.07,0.02,0.53,0.38,0.54,-0.01,0.89,0.0,0.28,-0.22,-0.201,0.393
AJ Merriman,12,194,111,12,10,2,17,19,48,84.21,972,529,443,49.55,4,9,0,1,0,4,100.00,132,5,189,202,breeze,2023,9.01,1.8,10.81,0.43,8.76,0.1,5.0,4.0,9.0,3.6,8.11,20.25,208.0,0.71,0.28,0.16,8.81,0.25,0.46,0.34,0.32,0.29,4.78,4.08,0.86,9.89,-0.12,0.83,0.72,-0.41,-0.18,-0.76,0.02,-0.27,0.1,-0.6,-0.01,-0.04,0.6,-0.01,-0.95,-0.936,0.393
Rhys Bergeron,13,178,90,12,4,8,7,14,50,89.29,673,309,364,58.89,5,5,0,0,0,1,33.33,0,0,178,211,breeze,2023,4.44,8.89,13.33,0.56,3.93,0.08,3.0,4.0,7.0,5.56,5.56,13.46,208.0,0.86,0.23,0.15,7.61,0.32,0.58,0.36,0.45,0.32,3.52,4.15,0.98,12.17,0.18,0.42,0.54,-0.71,0.23,-0.46,0.11,0.25,0.27,-0.57,-0.38,1.08,-0.41,0.32,-0.39,-0.393,0.393
Jacques Nissen,8,127,141,18,13,5,2,12,232,96.67,2343,1690,653,67.38,16,7,0,1,0,0,0.00,0,125,2,136,breeze,2023,9.22,3.55,12.77,1.65,1.57,0.09,12.0,5.0,17.0,11.35,4.96,10.1,208.0,0.6,0.12,0.08,16.39,0.28,1.62,0.29,0.27,0.22,11.75,4.68,0.62,7.4,-0.34,-0.49,-0.69,1.54,-0.0,2.11,-0.21,-0.47,-0.29,-0.36,2.04,2.1,-0.91,-0.36,0.93,0.752,0.393
David Cranston,10,174,108,8,5,3,6,11,94,96.91,519,293,226,50.0,6,3,0,0,0,0,--,0,12,162,196,breeze,2023,4.63,2.78,7.41,0.87,3.45,0.06,3.0,2.0,5.0,5.56,2.78,5.52,208.0,0.69,0.19,0.1,5.04,0.27,0.88,0.31,0.34,0.25,2.81,2.27,0.76,10.1,-0.16,0.09,-0.34,-1.37,-0.06,0.28,-0.12,-0.19,-0.12,-1.3,-0.59,0.01,-1.58,0.02,-0.22,-0.214,0.393
Charlie McCutcheon,11,162,87,8,5,3,2,10,43,100.0,355,86,269,60.92,3,0,1,0,0,0,--,0,0,162,203,breeze,2023,5.75,3.45,9.2,0.49,1.23,0.06,1.0,3.0,4.0,3.45,0.0,8.26,208.0,0.85,0.18,0.11,4.4,0.3,0.52,0.38,0.41,0.27,1.21,3.25,0.96,12.48,0.16,0.01,-0.16,-1.54,0.11,-0.61,0.2,0.09,-0.01,-0.92,-1.06,1.32,-1.18,0.36,-0.0,-0.0,0.393
Luke Rehfuss,10,144,81,4,2,2,6,8,28,93.33,479,60,419,53.09,2,2,0,0,0,0,--,0,0,144,163,breeze,2023,2.47,2.47,4.94,0.35,4.17,0.06,1.0,5.0,6.0,2.47,2.47,17.11,208.0,0.86,0.24,0.09,6.15,0.31,0.38,0.37,0.43,0.31,0.99,5.22,1.13,12.88,0.18,0.5,-0.51,-1.09,0.17,-0.96,0.15,0.17,0.21,-0.16,-1.13,0.38,0.13,0.42,-0.6,-0.531,0.393
Troy Holland,10,171,85,6,4,2,5,7,71,94.67,778,517,261,58.82,5,3,1,1,0,1,100.00,0,0,171,199,breeze,2023,4.71,2.35,7.06,0.84,2.92,0.04,6.0,3.0,9.0,5.88,3.53,10.96,208.0,0.84,0.22,0.08,9.2,0.33,0.84,0.38,0.41,0.31,6.02,3.23,1.01,12.71,0.14,0.34,-0.69,-0.31,0.28,0.18,0.2,0.09,0.21,-0.93,0.35,1.07,-0.78,0.39,-0.03,-0.029,0.393
Jake Kenniv,11,276,339,57,26,31,11,40,322,92.8,4645,1502,3143,41.59,20,24,1,4,1,7,70.00,4,264,12,327,mechanix,2023,7.67,9.14,16.81,0.95,3.99,0.14,4.0,9.0,14.0,5.9,7.08,14.43,164.0,0.37,0.08,0.12,13.65,0.13,0.95,0.16,0.19,0.14,4.44,9.22,0.27,3.7,-0.8,-0.82,0.01,0.83,-0.86,0.45,-0.81,-0.79,-0.75,1.4,-0.11,-1.0,-0.27,-0.89,-0.08,-0.113,-0.34
Carson Chamberlain,12,269,349,43,9,34,7,35,158,94.05,3304,438,2866,40.11,14,8,0,7,0,0,0.00,0,265,4,336,mechanix,2023,2.58,9.74,12.32,0.45,2.6,0.13,1.0,8.0,9.0,4.01,2.29,20.91,164.0,0.32,0.06,0.1,9.47,0.11,0.46,0.11,0.19,0.09,1.31,8.18,0.29,3.62,-0.9,-0.98,-0.34,-0.24,-0.98,-0.76,-1.04,-0.79,-1.03,0.99,-1.04,-1.17,0.69,-0.9,0.08,0.115,-0.34
Malachi Neil,10,147,82,6,1,5,12,16,24,96.0,452,50,402,31.71,1,1,0,1,0,0,--,10,14,133,142,mechanix,2023,1.22,6.1,7.32,0.29,8.16,0.11,1.0,5.0,6.0,1.22,1.22,18.83,164.0,0.87,0.31,0.18,5.77,0.3,0.33,0.36,0.46,0.3,0.86,4.97,1.14,12.49,0.2,1.08,1.07,-1.19,0.11,-1.08,0.11,0.29,0.16,-0.25,-1.17,-2.18,0.39,0.36,-0.39,-0.363,-0.34
Daniel Robinson,8,167,212,21,2,19,3,15,114,95.8,2184,545,1639,41.98,11,5,0,4,0,0,--,0,166,1,194,mechanix,2023,0.94,8.96,9.91,0.54,1.8,0.09,3.0,8.0,10.0,5.19,2.36,19.16,164.0,0.42,0.08,0.07,10.29,0.17,0.55,0.15,0.25,0.14,2.63,7.69,0.46,5.25,-0.7,-0.82,-0.87,-0.03,-0.63,-0.54,-0.85,-0.55,-0.75,0.8,-0.65,-0.95,0.43,-0.67,0.14,0.152,-0.34
Nicholas Betsch,11,267,335,37,22,15,7,15,294,91.59,4473,2011,2462,41.49,21,22,0,7,0,11,73.33,0,263,4,324,mechanix,2023,6.57,4.48,11.04,0.88,2.62,0.06,6.0,7.0,13.0,6.27,6.57,15.21,164.0,0.31,0.06,0.04,13.3,0.14,0.88,0.15,0.15,0.14,5.99,7.33,0.28,3.73,-0.92,-0.98,-1.4,0.74,-0.81,0.28,-0.85,-0.95,-0.75,0.66,0.34,-1.01,-0.15,-0.89,-0.2,-0.281,-0.34
Jack Havey,11,243,306,37,20,17,1,11,373,92.56,4303,2361,1942,40.2,20,26,0,1,0,2,50.00,0,231,12,299,mechanix,2023,6.54,5.56,12.09,1.22,0.41,0.05,8.0,6.0,14.0,6.54,8.5,11.54,164.0,0.34,0.05,0.04,14.0,0.14,1.22,0.16,0.17,0.16,7.67,6.34,0.29,4.0,-0.86,-1.06,-1.4,0.92,-0.81,1.12,-0.81,-0.87,-0.63,0.28,0.84,-1.16,-0.69,-0.85,-0.2,-0.27,-0.34
Terry Gaither,10,178,102,5,0,5,7,10,16,84.21,359,7,352,32.35,0,1,0,1,0,0,--,1,26,152,175,mechanix,2023,0.0,4.9,4.9,0.16,3.93,0.06,0.0,3.0,4.0,0.0,0.98,22.44,164.0,0.7,0.21,0.09,3.82,0.23,0.2,0.28,0.37,0.24,0.3,3.57,0.96,10.47,-0.14,0.26,-0.51,-1.69,-0.29,-1.4,-0.26,-0.07,-0.18,-0.8,-1.33,-2.11,0.92,0.07,-0.58,-0.599,-0.34
Trevor Polisuk-Balfour,6,71,44,9,2,7,2,10,17,89.47,410,42,368,36.36,2,1,0,0,0,0,--,8,7,64,74,mechanix,2023,4.55,15.91,20.45,0.39,2.82,0.14,1.0,8.0,9.0,4.55,2.27,24.12,164.0,1.61,0.35,0.2,9.39,0.55,0.45,0.65,0.86,0.53,1.37,8.12,2.12,20.8,1.67,1.41,1.42,-0.26,1.55,-0.78,1.43,1.88,1.46,0.97,-1.02,-1.62,1.17,1.55,0.18,0.121,-0.34
