Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,AST/POS %,GLS/POS %,SCR/POS %,CMP/POS,BLK/PP %,PM/PP,TY/POS,RY/POS,Y/POS,HA/POS %,T/POS %,Y/CMP,team_avg_min,SCR_adj,BLK_adj,+/-_adj,Y_adj,HA_adj,Cmp_adj,AST_adj,GLS_adj,T_adj,TY_adj,RY_adj,Y/CMP_adj,MP_adj,SCR_Z,BLK_Z,PM_Z,Y_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,YperCMP_Z,MP_z,Offensive_Value,Score,team_avg_scr
Mark Henke,15,216,149,25,7,18,8,31,56,98.25,1112,308,804,53.69,10,1,0,1,0,0,--,0,13,203,248,sol,2023,4.7,12.08,16.78,0.38,3.7,0.14,2.0,5.0,7.0,6.71,0.67,19.86,233.0,0.62,0.15,0.2,7.55,0.23,0.4,0.24,0.34,0.17,2.16,5.42,0.65,7.75,-0.3,-0.24,1.42,-0.73,-0.29,-0.91,-0.44,-0.19,-0.58,-0.08,-0.79,0.46,0.54,-0.31,0.61,0.629,-0.006
Reese Bowman,15,255,207,30,15,15,8,28,114,91.94,1939,881,1058,49.28,5,10,0,0,1,4,50.00,29,67,188,265,sol,2023,7.25,7.25,14.49,0.55,3.14,0.11,4.0,5.0,9.0,2.42,4.83,17.01,233.0,0.47,0.11,0.13,9.38,0.14,0.56,0.21,0.24,0.17,4.27,5.13,0.46,5.71,-0.6,-0.57,0.19,-0.26,-0.81,-0.51,-0.58,-0.59,-0.58,-0.19,-0.16,-0.07,0.12,-0.61,-0.3,-0.32,-0.006
Eric Brodbeck,15,222,212,28,9,19,9,27,129,92.14,1917,776,1141,53.77,11,10,0,0,0,5,71.43,2,94,128,261,sol,2023,4.25,8.96,13.21,0.61,4.05,0.12,4.0,5.0,9.0,5.19,4.72,14.86,233.0,0.45,0.11,0.12,9.06,0.17,0.62,0.18,0.25,0.16,3.69,5.4,0.44,5.56,-0.64,-0.57,0.01,-0.34,-0.63,-0.36,-0.72,-0.55,-0.63,-0.09,-0.33,0.46,-0.2,-0.63,-0.06,-0.064,-0.006
Elliott Moore,13,200,158,29,23,6,7,22,135,90.0,1720,1115,605,53.8,7,14,1,0,0,3,42.86,10,26,174,235,sol,2023,14.56,3.8,18.35,0.85,3.5,0.11,7.0,4.0,11.0,4.43,8.86,12.74,233.0,0.61,0.13,0.13,10.86,0.2,0.86,0.33,0.25,0.24,6.99,3.9,0.57,7.24,-0.32,-0.4,0.19,0.12,-0.46,0.23,-0.03,-0.55,-0.18,-0.67,0.64,0.47,-0.52,-0.39,-0.45,-0.452,-0.006
Noah Chambers,13,234,303,25,8,17,1,21,84,93.33,2115,560,1555,48.18,8,3,0,2,0,2,100.00,0,224,10,247,sol,2023,2.64,5.61,8.25,0.28,0.43,0.09,2.0,5.0,7.0,2.64,0.99,25.18,233.0,0.31,0.05,0.07,7.03,0.11,0.29,0.12,0.17,0.09,1.9,5.15,0.34,3.87,-0.92,-1.06,-0.87,-0.86,-0.98,-1.18,-0.99,-0.87,-1.03,-0.18,-0.86,-0.21,1.33,-0.87,-0.03,-0.031,-0.006
Oliver Fay,13,231,156,18,8,10,9,21,54,90.0,1148,263,885,48.72,9,5,0,1,0,0,0.00,84,35,196,238,sol,2023,5.13,6.41,11.54,0.35,3.9,0.09,2.0,6.0,7.0,5.77,3.21,21.26,233.0,0.55,0.15,0.13,7.44,0.21,0.37,0.24,0.28,0.19,1.79,5.68,0.63,7.35,-0.44,-0.24,0.19,-0.76,-0.4,-0.98,-0.44,-0.43,-0.46,0.02,-0.89,-0.14,0.75,-0.37,-0.23,-0.232,-0.006
Matthew Armour,12,238,201,27,17,10,9,20,127,90.07,2050,1106,944,46.77,12,12,0,4,0,4,40.00,1,60,178,272,sol,2023,8.46,4.98,13.43,0.63,3.78,0.08,6.0,5.0,10.0,5.97,5.97,16.14,233.0,0.47,0.12,0.1,10.19,0.18,0.64,0.23,0.22,0.18,5.49,4.73,0.47,5.91,-0.6,-0.49,-0.34,-0.05,-0.58,-0.31,-0.49,-0.67,-0.52,-0.35,0.2,-0.38,-0.01,-0.58,-0.19,-0.205,-0.006
Jackson Potts,13,227,164,21,14,7,9,18,103,89.57,1560,849,711,50.61,6,11,0,1,0,4,57.14,104,45,182,221,sol,2023,8.54,4.27,12.8,0.63,3.96,0.08,5.0,4.0,10.0,3.66,6.71,15.15,233.0,0.54,0.14,0.11,9.53,0.18,0.64,0.26,0.25,0.21,5.17,4.38,0.56,6.9,-0.46,-0.32,-0.16,-0.22,-0.58,-0.31,-0.35,-0.55,-0.35,-0.48,0.1,0.09,-0.16,-0.44,-0.49,-0.477,-0.006
Mick Walter,14,191,127,12,2,10,10,17,55,93.22,905,329,576,54.33,9,4,0,1,0,0,--,0,20,171,188,sol,2023,1.57,7.87,9.45,0.43,5.24,0.09,3.0,5.0,7.0,7.09,3.15,16.45,233.0,0.62,0.19,0.13,7.23,0.26,0.45,0.24,0.34,0.22,2.68,4.59,0.73,8.58,-0.3,0.09,0.19,-0.81,-0.12,-0.78,-0.44,-0.19,-0.29,-0.4,-0.63,0.53,0.03,-0.2,-0.09,-0.081,-0.006
Joshua Zdrodowski,10,120,68,14,4,10,5,16,20,86.96,593,294,299,58.82,1,3,0,0,0,4,80.00,62,9,111,126,sol,2023,5.88,14.71,20.59,0.29,4.17,0.13,4.0,4.0,9.0,1.47,4.41,29.65,233.0,1.15,0.27,0.22,8.81,0.36,0.34,0.47,0.62,0.38,4.37,4.51,1.5,14.67,0.76,0.75,1.78,-0.41,0.46,-1.05,0.61,0.93,0.61,-0.43,-0.13,1.07,1.99,0.67,0.08,0.059,-0.006
Brandon Dial,9,131,77,10,5,5,6,15,35,97.22,467,206,261,61.04,2,1,0,0,0,0,--,0,3,128,145,sol,2023,6.49,6.49,12.99,0.45,4.58,0.11,3.0,3.0,6.0,2.6,1.3,13.34,233.0,0.98,0.26,0.18,6.3,0.33,0.49,0.43,0.49,0.32,2.82,3.55,1.14,13.29,0.42,0.67,1.07,-1.05,0.28,-0.68,0.43,0.41,0.27,-0.8,-0.59,1.34,-0.43,0.48,0.02,0.016,-0.006
Michael Matthis,9,145,144,16,5,11,2,12,62,93.94,1039,274,765,48.61,6,4,1,2,0,0,0.00,0,91,54,166,sol,2023,3.47,7.64,11.11,0.43,1.38,0.08,2.0,5.0,7.0,4.17,2.78,16.76,233.0,0.58,0.11,0.08,7.31,0.21,0.45,0.23,0.31,0.19,2.01,5.34,0.65,7.46,-0.38,-0.57,-0.69,-0.79,-0.4,-0.78,-0.49,-0.31,-0.46,-0.11,-0.83,-0.15,0.08,-0.36,-0.07,-0.059,-0.006
Shane Worthington,7,87,65,8,2,6,3,8,20,86.96,367,186,181,61.54,2,3,0,0,0,1,50.00,0,3,84,107,sol,2023,3.08,9.23,12.31,0.31,3.45,0.09,3.0,3.0,6.0,3.08,4.62,18.35,233.0,1.11,0.26,0.11,5.96,0.39,0.36,0.46,0.59,0.4,3.01,3.01,1.4,15.03,0.68,0.67,-0.16,-1.14,0.63,-1.01,0.56,0.81,0.72,-1.01,-0.53,1.4,0.31,0.72,-0.44,-0.298,-0.006
Eric Carter,12,119,77,7,6,1,3,7,81,97.59,671,541,130,62.34,6,2,0,1,0,3,75.00,1,1,118,152,sol,2023,7.79,1.3,9.09,1.05,2.52,0.06,7.0,2.0,9.0,7.79,2.6,8.28,233.0,0.94,0.22,0.09,8.79,0.38,1.05,0.44,0.44,0.33,6.9,1.95,1.08,13.38,0.34,0.34,-0.51,-0.41,0.57,0.7,0.47,0.21,0.33,-1.43,0.61,1.49,-1.18,0.49,0.35,0.283,-0.006
Chris Cassella,3,52,69,7,2,5,2,5,36,83.72,366,176,190,49.28,0,4,0,0,0,1,50.00,2,37,15,53,sol,2023,2.9,7.25,10.14,0.52,3.85,0.1,3.0,3.0,5.0,0.0,5.8,10.17,233.0,1.04,0.23,0.07,5.62,0.34,0.55,0.43,0.54,0.39,2.72,2.97,1.22,13.49,0.54,0.42,-0.87,-1.22,0.34,-0.54,0.43,0.61,0.67,-1.03,-0.62,-0.07,-0.9,0.5,-0.9,-0.429,-0.006
Simon Carapella,12,209,257,45,8,37,4,36,131,92.25,2971,297,2674,49.42,12,9,0,4,0,1,25.00,0,189,20,249,glory,2023,3.11,14.4,17.51,0.51,1.91,0.17,1.0,10.0,12.0,4.67,3.5,22.68,170.0,0.44,0.07,0.14,11.53,0.14,0.52,0.15,0.27,0.13,1.23,10.32,0.39,4.56,-0.66,-0.9,0.37,0.29,-0.81,-0.61,-0.85,-0.47,-0.8,1.83,-1.06,-0.06,0.96,-0.77,0.15,0.182,-0.097
Ray Tetreault,12,198,242,41,19,22,3,33,140,95.24,3013,1012,2001,53.72,15,7,1,4,0,8,80.00,0,191,7,233,glory,2023,7.85,9.09,16.94,0.58,1.52,0.17,4.0,8.0,12.0,6.2,2.89,21.52,170.0,0.45,0.07,0.13,12.4,0.16,0.59,0.2,0.23,0.13,4.2,8.22,0.41,4.77,-0.64,-0.9,0.19,0.51,-0.69,-0.44,-0.62,-0.63,-0.8,1.01,-0.18,0.46,0.78,-0.74,0.46,0.539,-0.097
