Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,AST/POS %,GLS/POS %,SCR/POS %,CMP/POS,BLK/PP %,PM/PP,TY/POS,RY/POS,Y/POS,HA/POS %,T/POS %,Y/CMP,team_avg_min,SCR_adj,BLK_adj,+/-_adj,Y_adj,HA_adj,Cmp_adj,AST_adj,GLS_adj,T_adj,TY_adj,RY_adj,Y/CMP_adj,SCR_Z,BLK_Z,PM_Z,Y_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,YperCMP_Z,Offensive_Value,Score
Trey Koch,11,171,174,16,4,12,5,14,46,90.2,1041,171,870,29.89,3,4,0,3,0,0,--,0,111,60,182,mechanix,2025,2.3,6.9,9.2,0.26,2.92,0.08,1.0,5.0,6.0,1.72,2.3,22.63,144.0,0.48,0.11,0.08,6.12,0.18,0.28,0.19,0.26,0.13,1.09,5.03,0.6,-0.56,-0.56,-0.67,-1.09,-0.67,-1.25,-0.65,-0.49,-0.65,-0.27,-1.09,-2.14,0.64,-0.31,-0.349
Julien Bernat,10,182,135,17,11,6,6,12,110,91.67,1642,728,914,49.63,8,9,0,2,0,5,41.67,19,52,130,206,royal,2025,8.15,4.44,12.59,0.81,3.3,0.07,5.0,7.0,12.0,5.93,6.67,14.93,172.0,0.62,0.15,0.09,12.12,0.27,0.82,0.29,0.29,0.21,5.38,6.74,0.71,-0.3,-0.25,-0.51,0.37,-0.28,0.13,-0.22,-0.38,-0.13,0.4,0.15,-0.06,-0.19,-0.32,-0.35
Evan Bembenista,7,159,175,16,4,12,3,8,70,89.74,1549,486,1063,40.57,8,7,0,4,0,3,42.86,0,128,31,170,thunderbirds,2025,2.29,6.86,9.14,0.4,1.89,0.05,3.0,6.0,9.0,4.57,4.0,22.13,152.0,0.48,0.1,0.04,8.91,0.21,0.42,0.19,0.26,0.15,2.84,6.07,0.6,-0.56,-0.63,-1.32,-0.41,-0.54,-0.89,-0.65,-0.49,-0.52,0.14,-0.58,-1.01,0.59,-0.34,-0.36
Jason Kempe,11,188,185,20,11,9,18,25,207,93.67,1985,1136,849,38.38,13,12,0,1,0,0,0.00,0,82,106,223,alleycats,2025,5.95,4.86,10.81,1.12,9.57,0.13,6.0,5.0,11.0,7.03,6.49,9.59,164.0,0.47,0.17,0.13,10.74,0.23,1.12,0.22,0.23,0.17,6.11,4.63,0.5,-0.58,-0.1,0.14,0.03,-0.45,0.9,-0.53,-0.6,-0.39,-0.43,0.35,-1.25,-0.76,-0.31,-0.361
Joel Clutton,7,125,158,22,4,18,4,18,67,88.16,1438,360,1078,33.54,5,8,0,0,0,2,100.00,1,110,15,146,bighorns,2025,2.53,11.39,13.92,0.42,3.2,0.14,2.0,7.0,9.0,3.16,5.06,21.46,142.0,0.56,0.12,0.11,9.16,0.21,0.44,0.21,0.33,0.17,2.36,6.8,0.65,-0.41,-0.48,-0.18,-0.35,-0.54,-0.84,-0.57,-0.24,-0.39,0.42,-0.72,-1.76,0.51,-0.37,-0.375
Kai Marcus,9,121,173,22,21,1,1,8,167,89.78,2073,1571,502,44.51,9,15,0,0,0,8,53.33,0,121,0,153,radicals,2025,12.14,0.58,12.72,0.97,0.83,0.07,9.0,3.0,12.0,5.2,8.67,12.41,192.0,0.52,0.09,0.04,11.96,0.22,0.97,0.29,0.2,0.2,8.97,2.99,0.55,-0.48,-0.71,-1.32,0.33,-0.5,0.52,-0.22,-0.71,-0.2,-1.07,1.18,-0.6,-0.45,-0.42,-0.375
Malachi Neil,6,101,131,11,6,5,2,8,54,91.53,921,342,579,35.88,4,5,0,0,0,0,0.00,1,85,16,116,mechanix,2025,4.58,3.82,8.4,0.41,1.98,0.08,3.0,4.0,7.0,3.05,3.82,17.06,144.0,0.6,0.12,0.06,7.18,0.25,0.43,0.26,0.29,0.18,2.7,4.48,0.75,-0.34,-0.48,-0.99,-0.83,-0.37,-0.86,-0.35,-0.38,-0.33,-0.49,-0.62,-1.51,0.04,-0.42,-0.377
Anthony Grigoletti,4,26,13,0,0,0,0,0,2,100.0,57,26,31,23.08,0,0,0,0,0,0,--,0,0,26,30,mechanix,2025,0.0,0.0,0.0,0.15,0.0,0.0,2.0,2.0,4.0,0.0,0.0,28.5,144.0,3.89,0.83,0.0,6.22,1.67,0.39,1.67,1.94,1.11,2.83,3.39,6.31,5.7,4.89,-1.97,-1.07,5.8,-0.97,5.7,5.58,5.74,-0.92,-0.59,-2.86,1.27,-0.83,-0.379
Casey Shugarman,14,195,109,7,4,3,13,17,31,91.18,704,162,542,47.71,5,3,0,0,0,0,--,0,6,189,224,growlers,2025,3.67,2.75,6.42,0.28,6.67,0.09,1.0,5.0,6.0,4.59,2.75,22.71,223.0,0.68,0.25,0.15,6.66,0.31,0.32,0.3,0.33,0.2,1.64,5.02,0.94,-0.19,0.5,0.47,-0.96,-0.11,-1.15,-0.18,-0.24,-0.2,-0.28,-0.93,-0.26,0.65,-0.38,-0.381
Drew Loughnane,4,47,27,3,0,3,2,4,5,83.33,174,20,154,51.85,2,1,0,0,0,0,--,0,1,46,58,phoenix,2025,0.0,11.11,11.11,0.19,4.26,0.09,1.0,6.0,6.0,7.41,3.7,34.8,179.0,2.28,0.53,0.12,7.16,1.0,0.31,0.94,1.19,0.66,1.41,5.75,3.74,2.74,2.62,-0.02,-0.84,2.89,-1.17,2.57,2.87,2.8,0.01,-0.99,0.18,1.94,-0.68,-0.387
Aaron Rosenthal,13,179,127,14,0,14,11,21,28,90.32,604,28,576,42.52,2,3,0,1,1,0,--,0,8,171,205,spiders,2025,0.0,11.02,11.02,0.22,6.15,0.12,0.0,5.0,5.0,1.57,2.36,21.57,204.0,0.64,0.2,0.16,4.99,0.24,0.25,0.23,0.37,0.17,0.4,4.59,0.81,-0.26,0.12,0.63,-1.37,-0.41,-1.32,-0.48,-0.09,-0.39,-0.45,-1.28,-0.81,0.53,-0.39,-0.391
Richard Ware,9,102,56,3,0,3,3,5,9,90.0,175,-16,191,25.0,2,0,0,1,0,0,--,0,9,93,98,mechanix,2025,0.0,5.36,5.36,0.16,2.94,0.05,-0.0,3.0,3.0,3.57,0.0,19.44,144.0,1.2,0.3,0.08,3.77,0.52,0.23,0.49,0.62,0.33,0.15,3.62,1.71,0.76,0.88,-0.67,-1.67,0.81,-1.38,0.63,0.81,0.65,-0.83,-1.36,-2.66,0.3,-0.48,-0.396
Nicholas Dahms,12,158,112,3,1,2,5,7,39,92.86,347,121,226,35.71,3,0,0,1,0,0,--,0,18,140,189,steel,2025,0.89,1.79,2.68,0.35,3.16,0.04,1.0,2.0,3.0,2.68,0.0,8.9,163.0,0.62,0.17,0.06,3.44,0.28,0.38,0.26,0.32,0.17,1.25,2.19,0.8,-0.3,-0.1,-0.99,-1.75,-0.24,-0.99,-0.35,-0.27,-0.39,-1.39,-1.04,-1.53,-0.83,-0.37,-0.398
Cole Hyzer,12,230,289,42,28,14,12,26,258,88.05,4500,2182,2318,38.41,12,27,0,1,0,15,62.50,7,195,35,273,alleycats,2025,9.69,4.84,14.53,0.89,5.22,0.11,8.0,8.0,16.0,4.15,9.34,17.44,164.0,0.38,0.09,0.09,15.49,0.14,0.89,0.2,0.17,0.16,7.51,7.99,0.35,-0.74,-0.71,-0.51,1.19,-0.84,0.31,-0.61,-0.81,-0.46,0.89,0.76,-1.24,0.08,-0.31,-0.4
Cameron Lacy,16,235,192,26,15,11,7,22,137,90.73,1303,961,342,55.21,15,11,1,0,0,4,50.00,157,6,229,299,windchill,2025,7.81,5.73,13.54,0.71,2.98,0.09,5.0,2.0,7.0,7.81,5.73,9.51,247.0,0.49,0.11,0.11,6.89,0.23,0.72,0.23,0.23,0.16,5.01,1.89,0.48,-0.54,-0.56,-0.18,-0.9,-0.45,-0.12,-0.48,-0.6,-0.46,-1.51,0.04,0.53,-0.77,-0.37,-0.407
Kyle Suelflow,9,136,106,15,6,9,7,17,28,84.85,775,277,498,50.94,3,5,0,0,0,3,60.00,0,15,121,152,windchill,2025,5.66,8.49,14.15,0.26,5.15,0.12,3.0,5.0,7.0,2.83,4.72,27.68,247.0,0.77,0.2,0.15,7.48,0.3,0.3,0.32,0.4,0.23,2.72,4.76,1.02,-0.03,0.12,0.47,-0.76,-0.15,-1.2,-0.1,0.02,0.0,-0.38,-0.62,0.08,1.18,-0.52,-0.408
Conner Stillwell,11,168,205,21,13,8,3,7,142,89.87,2692,800,1892,38.54,12,13,0,4,0,3,100.00,0,162,6,190,steel,2025,6.34,3.9,10.24,0.69,1.79,0.04,4.0,9.0,13.0,5.85,6.34,18.96,163.0,0.43,0.09,0.03,13.08,0.2,0.7,0.2,0.2,0.16,3.93,9.15,0.5,-0.65,-0.71,-1.48,0.61,-0.58,-0.17,-0.61,-0.71,-0.46,1.35,-0.27,-1.23,0.25,-0.38,-0.41
Mitchell McCarthy,13,207,178,30,12,18,12,26,127,88.19,2038,1222,816,52.25,11,15,1,1,0,7,63.64,33,53,154,227,radicals,2025,6.74,10.11,16.85,0.71,5.8,0.13,7.0,5.0,11.0,6.18,8.43,16.05,192.0,0.55,0.15,0.14,11.44,0.22,0.72,0.23,0.29,0.19,6.81,4.62,0.55,-0.43,-0.25,0.3,0.21,-0.5,-0.12,-0.48,-0.38,-0.26,-0.43,0.56,0.22,-0.07,-0.38,-0.413
Cole Moore,3,41,28,7,4,3,3,8,17,89.47,147,42,105,57.14,0,2,0,0,0,0,0.00,0,2,39,54,glory,2025,14.29,10.71,25.0,0.61,7.32,0.2,2.0,4.0,5.0,0.0,7.14,8.65,209.0,2.33,0.55,0.24,6.12,0.91,0.67,1.03,1.15,0.67,2.03,4.09,2.84,2.83,2.77,1.92,-1.09,2.5,-0.25,2.95,2.73,2.87,-0.64,-0.82,0.73,-0.86,-0.82,-0.417
Chase Cunningham,7,166,174,28,20,8,4,8,219,89.02,3003,1940,1063,52.87,14,22,0,2,0,5,38.46,22,128,38,166,havoc,2025,11.49,4.6,16.09,1.26,2.41,0.05,11.0,6.0,17.0,8.05,12.64,13.71,152.0,0.55,0.11,0.04,17.08,0.25,1.25,0.28,0.24,0.23,10.98,6.11,0.55,-0.43,-0.56,-1.32,1.58,-0.37,1.23,-0.27,-0.56,0.0,0.15,1.75,0.28,-0.32,-0.4,-0.418
Mitchell Steiner,10,195,154,14,9,5,8,14,160,94.12,1522,559,963,40.91,9,8,1,0,1,1,33.33,15,73,122,225,aviators,2025,5.84,3.25,9.09,1.04,4.1,0.07,4.0,6.0,10.0,5.84,5.19,9.51,175.0,0.53,0.14,0.09,9.92,0.25,1.04,0.25,0.25,0.18,3.67,6.25,0.59,-0.47,-0.33,-0.51,-0.17,-0.37,0.69,-0.4,-0.52,-0.33,0.21,-0.35,-0.98,-0.77,-0.37,-0.42
Lukas McClamrock,12,190,95,18,12,6,16,24,104,89.66,1106,764,342,57.89,12,10,0,0,1,1,50.00,0,3,187,211,hustle,2025,12.63,6.32,18.95,1.09,8.42,0.13,8.0,4.0,12.0,12.63,10.53,10.63,210.0,0.88,0.31,0.24,11.61,0.42,1.09,0.42,0.41,0.3,7.89,3.72,0.96,0.18,0.96,1.92,0.25,0.37,0.82,0.33,0.05,0.46,-0.79,0.87,0.81,-0.65,-0.42,-0.421
Zac Scheuerman,12,195,138,14,1,13,9,17,30,78.95,814,19,795,34.78,1,3,0,3,0,0,0.00,0,32,163,224,steel,2025,0.72,9.42,10.14,0.22,4.62,0.09,0.0,6.0,6.0,0.72,2.17,27.13,163.0,0.59,0.17,0.12,6.08,0.22,0.24,0.22,0.34,0.16,0.31,5.77,0.78,-0.36,-0.1,-0.02,-1.1,-0.5,-1.35,-0.53,-0.2,-0.46,0.02,-1.31,-1.63,1.12,-0.36,-0.422
Benjamin Horrisberger,8,112,61,5,3,2,6,8,44,93.62,381,23,358,57.38,1,2,0,1,0,0,--,0,0,112,135,glory,2025,4.92,3.28,8.2,0.72,5.36,0.07,0.0,6.0,6.0,1.64,3.28,8.66,209.0,1.14,0.32,0.12,6.61,0.47,0.74,0.5,0.56,0.33,0.73,5.88,1.42,0.65,1.03,-0.02,-0.97,0.59,-0.07,0.68,0.59,0.65,0.06,-1.19,0.76,-0.86,-0.53,-0.426
Jason Lee,6,58,45,1,0,1,3,4,17,100.0,156,0,156,26.67,0,0,0,0,0,0,--,0,10,48,92,aviators,2025,0.0,2.22,2.22,0.38,5.17,0.07,0.0,3.0,3.0,0.0,0.0,9.18,175.0,1.42,0.36,0.08,4.22,0.6,0.44,0.6,0.72,0.4,0.5,3.72,1.88,1.17,1.34,-0.67,-1.56,1.15,-0.84,1.11,1.17,1.11,-0.79,-1.26,-2.48,-0.8,-0.59,-0.428
Jakeem Polk,12,171,81,5,3,2,4,8,22,95.65,204,107,97,46.91,1,1,0,0,0,1,100.00,30,2,169,180,hustle,2025,3.7,2.47,6.17,0.27,2.34,0.05,1.0,1.0,3.0,1.23,1.23,9.27,210.0,0.87,0.22,0.09,3.01,0.36,0.31,0.38,0.43,0.24,1.53,1.48,1.1,0.16,0.28,-0.51,-1.85,0.11,-1.17,0.16,0.13,0.07,-1.67,-0.96,-0.35,-0.79,-0.47,-0.435
Caleb Campbell,12,216,158,18,12,6,10,13,178,90.82,1364,1056,308,34.81,15,11,0,4,0,4,80.00,100,28,188,245,steel,2025,7.59,3.8,11.39,1.13,4.63,0.06,7.0,2.0,9.0,9.49,6.96,7.66,163.0,0.54,0.15,0.08,8.71,0.28,1.12,0.26,0.25,0.19,6.63,2.07,0.57,-0.45,-0.25,-0.67,-0.46,-0.24,0.9,-0.35,-0.52,-0.26,-1.44,0.5,-1.62,-0.96,-0.36,-0.441
Brendan Gessner,12,269,340,21,4,17,3,15,152,96.2,2275,536,1739,35.29,10,6,0,3,0,2,100.00,0,251,18,281,mechanix,2025,1.18,5.0,6.18,0.45,1.12,0.06,2.0,5.0,7.0,2.94,1.76,14.97,144.0,0.26,0.05,0.04,6.75,0.12,0.46,0.1,0.15,0.08,1.63,5.13,0.29,-0.96,-1.01,-1.32,-0.94,-0.93,-0.79,-1.04,-0.89,-0.98,-0.23,-0.93,-1.57,-0.18,-0.32,-0.447
Dominic Jacobs,9,118,71,7,1,6,8,13,10,90.91,277,63,214,39.44,0,1,0,1,0,0,--,0,5,113,128,cascades,2025,1.41,8.45,9.86,0.14,6.78,0.11,1.0,3.0,4.0,0.0,1.41,27.7,177.0,1.01,0.3,0.17,4.37,0.39,0.2,0.41,0.54,0.28,1.16,3.21,1.48,0.41,0.88,0.79,-1.52,0.24,-1.45,0.29,0.52,0.33,-0.99,-1.07,-1.13,1.18,-0.53,-0.451
David Zoldan,3,44,35,4,1,3,1,3,11,84.62,277,68,209,45.71,2,2,0,0,0,0,--,0,11,33,51,mechanix,2025,2.86,8.57,11.43,0.31,2.27,0.07,2.0,6.0,8.0,5.71,5.71,25.18,144.0,1.85,0.4,0.08,8.3,0.8,0.4,0.78,0.95,0.55,2.33,5.98,2.75,1.95,1.64,-0.67,-0.56,2.02,-0.94,1.88,2.0,2.09,0.1,-0.73,-0.47,0.91,-0.77,-0.458
Michael Tran,9,163,108,10,6,4,7,11,97,93.27,745,566,179,52.78,7,6,0,0,0,2,40.00,58,27,136,197,growlers,2025,5.56,3.7,9.26,0.9,4.29,0.07,5.0,2.0,7.0,6.48,5.56,7.68,223.0,0.71,0.19,0.1,7.08,0.33,0.9,0.32,0.35,0.23,5.23,1.85,0.82,-0.14,0.05,-0.34,-0.86,-0.02,0.34,-0.1,-0.16,0.0,-1.52,0.1,0.27,-0.96,-0.49,-0.461
Oakley Armstrong,9,108,69,6,1,5,5,7,24,88.89,410,220,190,50.72,5,3,0,1,1,0,--,3,0,108,123,sol,2025,1.45,7.25,8.7,0.35,4.63,0.06,3.0,3.0,6.0,7.25,4.35,17.08,193.0,1.03,0.27,0.09,6.28,0.47,0.39,0.42,0.54,0.31,3.31,2.97,1.38,0.45,0.65,-0.51,-1.05,0.59,-0.97,0.33,0.52,0.52,-1.08,-0.45,0.06,0.04,-0.58,-0.463
Carl Johnson,7,118,117,11,2,9,4,10,41,89.13,831,173,658,45.3,4,5,0,0,0,0,0.00,4,82,36,127,thunderbirds,2025,1.71,7.69,9.4,0.35,3.39,0.08,1.0,6.0,7.0,3.42,4.27,20.27,152.0,0.66,0.16,0.08,7.26,0.28,0.38,0.26,0.36,0.2,1.62,5.64,0.86,-0.23,-0.18,-0.67,-0.81,-0.24,-0.99,-0.35,-0.13,-0.2,-0.03,-0.93,-0.51,0.39,-0.51,-0.466
Colin Berry,14,171,175,21,9,12,7,16,84,89.36,1511,666,845,49.14,10,10,0,2,0,5,62.50,0,71,100,208,windchill,2025,5.14,6.86,12.0,0.48,4.09,0.09,4.0,5.0,9.0,5.71,5.71,17.99,247.0,0.51,0.12,0.09,8.7,0.22,0.49,0.22,0.26,0.17,3.84,4.86,0.57,-0.5,-0.48,-0.51,-0.46,-0.5,-0.71,-0.53,-0.49,-0.39,-0.34,-0.3,-0.11,0.14,-0.51,-0.468
Ben Levinsky,11,147,84,7,4,3,8,11,32,91.43,568,171,397,52.38,3,3,0,1,0,1,100.00,8,1,146,176,growlers,2025,4.76,3.57,8.33,0.38,5.44,0.07,2.0,5.0,7.0,3.57,3.57,17.75,223.0,0.87,0.26,0.12,7.0,0.37,0.42,0.38,0.43,0.26,2.2,4.8,1.15,0.16,0.58,-0.02,-0.88,0.15,-0.89,0.16,0.13,0.2,-0.36,-0.77,0.23,0.12,-0.53,-0.471
AJ Miles,4,58,52,2,0,2,2,2,8,88.89,245,23,222,28.85,1,1,1,1,0,1,50.00,0,34,24,61,bighorns,2025,0.0,3.85,3.85,0.15,3.45,0.03,0.0,4.0,5.0,1.92,1.92,30.62,142.0,1.26,0.3,0.04,5.26,0.54,0.23,0.53,0.65,0.37,0.84,4.42,2.03,0.87,0.88,-1.32,-1.3,0.89,-1.38,0.81,0.92,0.91,-0.51,-1.16,-2.25,1.49,-0.72,-0.472
Suhas Madiraju,10,164,100,7,3,4,3,7,108,96.43,504,396,108,57.0,4,3,0,0,1,1,100.00,1,15,149,203,flyers,2025,3.0,4.0,7.0,1.08,1.83,0.04,4.0,1.0,5.0,4.0,3.0,4.67,175.0,0.73,0.17,0.07,5.32,0.32,1.08,0.31,0.37,0.22,4.01,1.31,0.85,-0.1,-0.1,-0.83,-1.29,-0.06,0.8,-0.14,-0.09,-0.07,-1.73,-0.25,0.72,-1.28,-0.44,-0.474
Franky Fernandez,7,100,54,4,3,1,6,7,23,95.83,209,24,185,50.0,0,1,0,2,0,0,--,0,0,100,112,hustle,2025,5.56,1.85,7.41,0.43,6.0,0.07,0.0,3.0,4.0,0.0,1.85,9.09,210.0,1.25,0.36,0.12,4.47,0.51,0.47,0.56,0.61,0.36,0.83,3.64,1.59,0.85,1.34,-0.02,-1.5,0.76,-0.76,0.94,0.78,0.85,-0.82,-1.16,-0.02,-0.81,-0.65,-0.475
Reed Browning,12,186,119,21,12,9,8,19,53,84.13,1311,479,832,53.78,9,10,0,0,0,4,66.67,0,4,182,221,shred,2025,10.08,7.56,17.65,0.45,4.3,0.1,4.0,7.0,11.0,7.56,8.4,24.74,214.0,0.73,0.19,0.15,11.02,0.31,0.47,0.34,0.35,0.24,4.06,6.95,0.88,-0.1,0.05,0.47,0.1,-0.11,-0.76,-0.01,-0.16,0.07,0.48,-0.23,0.38,0.86,-0.47,-0.478
Zakarie Massi,5,61,31,6,3,3,1,5,8,61.54,183,87,96,41.94,0,2,0,0,0,1,33.33,0,2,59,70,royal,2025,9.68,9.68,19.35,0.26,1.64,0.08,3.0,3.0,6.0,0.0,6.45,22.88,172.0,2.11,0.44,0.14,6.61,0.83,0.36,0.92,1.06,0.61,3.11,3.5,3.0,2.43,1.94,0.3,-0.97,2.15,-1.04,2.48,2.4,2.48,-0.87,-0.51,-0.87,0.67,-0.75,-0.478
Trevor Polisuk-Balfour,8,121,93,11,7,4,9,15,39,88.64,886,346,540,30.11,3,5,0,0,0,4,80.00,0,23,98,143,mechanix,2025,7.53,4.3,11.83,0.42,7.44,0.12,4.0,6.0,10.0,3.23,5.38,22.72,144.0,0.83,0.24,0.15,9.6,0.34,0.45,0.38,0.4,0.26,3.79,5.82,1.1,0.08,0.43,0.47,-0.24,0.02,-0.81,0.16,0.02,0.2,0.04,-0.31,-2.12,0.65,-0.48,-0.478
Eli Kerns,7,147,109,18,14,4,7,14,133,89.86,1063,938,125,48.62,8,11,0,0,0,10,50.00,99,19,128,150,spiders,2025,12.84,3.67,16.51,1.22,4.76,0.1,9.0,1.0,10.0,7.34,10.09,7.99,204.0,0.77,0.19,0.12,9.81,0.33,1.21,0.39,0.34,0.27,8.45,1.36,0.82,-0.03,0.05,-0.02,-0.19,-0.02,1.13,0.21,-0.2,0.26,-1.72,1.03,-0.16,-0.93,-0.56,-0.48
Matt Tucker,12,211,107,11,1,10,9,15,27,87.1,622,52,570,55.14,8,4,0,1,0,0,--,1,1,210,219,flyers,2025,0.93,9.35,10.28,0.25,4.27,0.07,0.0,5.0,6.0,7.48,3.74,23.04,175.0,0.72,0.21,0.13,6.04,0.34,0.29,0.28,0.4,0.21,0.69,5.36,0.96,-0.12,0.2,0.14,-1.11,0.02,-1.22,-0.27,0.02,-0.13,-0.14,-1.2,0.52,0.68,-0.43,-0.481
Ryan Martin,6,69,52,2,0,2,2,2,26,92.86,266,94,172,28.85,0,1,0,1,0,1,100.00,3,22,47,81,bighorns,2025,0.0,3.85,3.85,0.5,2.9,0.03,2.0,3.0,5.0,0.0,1.92,10.23,142.0,1.26,0.3,0.04,5.63,0.53,0.54,0.53,0.65,0.37,2.09,3.54,1.67,0.87,0.88,-1.32,-1.21,0.85,-0.58,0.81,0.92,0.91,-0.86,-0.8,-2.25,-0.69,-0.64,-0.483
Anson Reppermund,8,159,149,17,7,10,5,11,74,86.05,1632,537,1095,48.32,7,10,0,1,0,5,50.00,28,86,73,165,thunderbirds,2025,4.7,6.71,11.41,0.5,3.14,0.07,4.0,7.0,11.0,4.7,6.71,22.05,152.0,0.56,0.13,0.07,10.95,0.24,0.51,0.24,0.29,0.19,3.65,7.31,0.7,-0.41,-0.4,-0.83,0.09,-0.41,-0.66,-0.44,-0.38,-0.26,0.62,-0.35,-0.2,0.58,-0.47,-0.49
Christian Belus,3,48,33,6,1,5,3,7,12,85.71,207,17,190,51.52,0,2,0,0,0,0,--,0,6,42,51,flyers,2025,3.03,15.15,18.18,0.36,6.25,0.15,1.0,6.0,6.0,0.0,6.06,17.25,175.0,2.0,0.47,0.18,6.89,0.79,0.45,0.82,1.05,0.58,1.11,5.79,2.69,2.23,2.17,0.95,-0.9,1.98,-0.81,2.05,2.36,2.28,0.03,-1.08,0.14,0.06,-0.91,-0.491
Ryan Wartenberg,11,169,138,6,0,6,6,6,52,89.66,1105,294,811,39.13,7,5,0,1,0,1,50.00,0,43,126,195,alleycats,2025,0.0,4.35,4.35,0.38,3.55,0.04,2.0,6.0,8.0,5.07,3.62,21.25,164.0,0.53,0.15,0.04,8.11,0.26,0.4,0.21,0.29,0.17,2.23,5.88,0.74,-0.47,-0.25,-1.32,-0.61,-0.32,-0.94,-0.57,-0.38,-0.39,0.06,-0.76,-1.17,0.49,-0.45,-0.491
Everett Grass,11,132,88,5,1,4,3,3,100,95.24,762,470,292,40.91,4,4,0,1,0,0,0.00,0,27,105,161,aviators,2025,1.14,4.55,5.68,1.14,2.27,0.02,5.0,3.0,9.0,4.55,4.55,7.62,175.0,0.81,0.19,0.03,8.78,0.37,1.13,0.33,0.42,0.26,5.32,3.46,1.0,0.05,0.05,-1.48,-0.44,0.15,0.92,-0.05,0.09,0.2,-0.89,0.13,-0.98,-0.97,-0.52,-0.499
Noah Hanson,15,223,187,24,14,10,19,31,85,86.73,1481,749,732,51.87,6,11,0,1,0,4,50.00,0,5,218,289,windchill,2025,7.49,5.35,12.83,0.45,8.52,0.14,4.0,4.0,8.0,3.21,5.88,17.42,247.0,0.49,0.18,0.16,8.0,0.19,0.47,0.23,0.23,0.16,4.03,3.97,0.53,-0.54,-0.03,0.63,-0.63,-0.63,-0.76,-0.48,-0.6,-0.46,-0.69,-0.24,0.18,0.08,-0.47,-0.508
Adam McNichols,10,209,264,29,26,3,6,7,284,91.32,3520,1836,1684,38.26,19,23,1,5,0,14,50.00,0,202,7,238,steel,2025,9.85,1.14,10.98,1.08,2.87,0.03,7.0,6.0,13.0,7.2,8.71,12.39,163.0,0.37,0.08,0.03,13.29,0.18,1.07,0.21,0.14,0.16,6.92,6.37,0.36,-0.76,-0.78,-1.48,0.66,-0.67,0.77,-0.57,-0.92,-0.46,0.25,0.59,-1.26,-0.46,-0.42,-0.508
Antoine Dubé,7,132,90,12,5,7,7,13,32,84.21,795,193,602,45.56,6,6,0,0,0,2,50.00,6,30,102,139,royal,2025,5.56,7.78,13.33,0.36,5.3,0.1,2.0,7.0,9.0,6.67,6.67,24.84,172.0,0.86,0.23,0.14,8.95,0.38,0.39,0.37,0.44,0.27,2.29,6.65,1.16,0.14,0.35,0.3,-0.4,0.2,-0.97,0.12,0.16,0.26,0.36,-0.74,-0.49,0.88,-0.57,-0.512
Zachary Armstrong,11,186,95,7,4,3,4,9,22,91.67,426,124,302,45.26,1,2,0,0,0,0,0.00,75,25,161,192,rush,2025,4.21,3.16,7.37,0.23,2.15,0.05,1.0,3.0,4.0,1.05,2.11,19.36,174.0,0.77,0.19,0.09,4.81,0.31,0.27,0.34,0.38,0.22,1.49,3.32,1.04,-0.03,0.05,-0.51,-1.41,-0.11,-1.27,-0.01,-0.06,-0.07,-0.94,-0.97,-0.52,0.29,-0.49,-0.515
Antonio Rueda,12,239,310,24,9,15,6,10,313,93.71,2673,1225,1448,39.35,16,16,0,4,0,1,100.00,0,226,13,294,steel,2025,2.9,4.84,7.74,1.01,2.51,0.04,4.0,5.0,9.0,5.16,5.16,8.54,163.0,0.3,0.07,0.03,8.66,0.15,1.01,0.12,0.16,0.11,3.97,4.69,0.3,-0.89,-0.86,-1.48,-0.47,-0.8,0.62,-0.95,-0.85,-0.78,-0.41,-0.26,-1.14,-0.87,-0.4,-0.537
Seamus Robinson,13,229,170,20,13,7,13,20,122,91.04,1764,714,1050,50.59,7,12,0,1,0,3,50.00,33,27,202,256,spiders,2025,7.65,4.12,11.76,0.72,5.68,0.09,4.0,6.0,10.0,4.12,7.06,14.46,204.0,0.51,0.16,0.11,10.39,0.21,0.73,0.25,0.24,0.18,4.22,6.17,0.57,-0.5,-0.18,-0.18,-0.05,-0.54,-0.1,-0.4,-0.56,-0.33,0.18,-0.19,0.04,-0.24,-0.48,-0.538
Terry Gaither,8,124,86,6,1,5,2,6,14,93.33,231,12,219,27.91,0,1,0,1,0,0,--,0,39,85,134,mechanix,2025,1.16,5.81,6.98,0.16,1.61,0.05,0.0,3.0,3.0,0.0,1.16,16.5,144.0,0.84,0.19,0.07,3.14,0.33,0.21,0.34,0.44,0.23,0.41,2.74,1.12,0.1,0.05,-0.83,-1.82,-0.02,-1.43,-0.01,0.16,0.0,-1.17,-1.28,-2.35,-0.02,-0.57,-0.55
Aaron Wolf,6,133,144,24,16,8,5,10,170,90.43,1875,1496,379,51.39,13,17,1,2,0,5,62.50,8,87,46,140,cascades,2025,11.11,5.56,16.67,1.18,3.76,0.08,10.0,3.0,13.0,9.03,11.81,11.03,177.0,0.63,0.13,0.07,12.95,0.29,1.17,0.31,0.29,0.25,10.21,2.74,0.64,-0.28,-0.4,-0.83,0.57,-0.19,1.03,-0.14,-0.38,0.13,-1.17,1.53,0.13,-0.6,-0.62,-0.551
