Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,AST/POS %,GLS/POS %,SCR/POS %,CMP/POS,BLK/PP %,PM/PP,TY/POS,RY/POS,Y/POS,HA/POS %,T/POS %,Y/CMP,team_avg_min,SCR_adj,BLK_adj,+/-_adj,Y_adj,HA_adj,Cmp_adj,AST_adj,GLS_adj,T_adj,TY_adj,RY_adj,Y/CMP_adj,SCR_Z,BLK_Z,PM_Z,Y_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,YperCMP_Z,Offensive_Value,Score
Walker Matthews,5,49,30,6,4,2,1,5,18,90.0,430,145,285,50.0,1,2,0,0,0,2,100.00,21,5,44,57,flyers,2025,13.33,6.67,20.0,0.6,2.04,0.1,5.0,10.0,14.0,3.33,6.67,23.89,175.0,2.17,0.46,0.14,13.86,0.89,0.66,0.97,1.06,0.63,4.86,9.0,3.11,2.54,2.09,0.3,0.8,2.41,-0.28,2.7,2.4,2.61,1.29,-0.0,-0.02,0.77,-0.15,-0.086
Owen Woodward,4,58,54,7,0,7,1,7,19,86.36,447,160,287,40.74,1,1,0,0,0,0,0.00,0,15,43,64,alleycats,2025,0.0,12.96,12.96,0.35,1.72,0.12,3.0,5.0,8.0,1.85,1.85,23.53,164.0,1.31,0.27,0.12,8.51,0.53,0.41,0.51,0.71,0.36,3.14,5.37,1.84,0.96,0.65,-0.02,-0.51,0.85,-0.92,0.72,1.14,0.85,-0.14,-0.5,-1.0,0.74,-0.14,-0.087
Kyle Rutledge,8,136,174,24,9,15,7,17,170,90.91,2033,1149,884,54.6,10,11,0,3,0,2,33.33,0,109,27,156,union,2025,5.17,8.62,13.79,0.98,5.15,0.12,7.0,5.0,12.0,5.75,6.32,11.96,166.0,0.53,0.12,0.09,11.66,0.22,0.98,0.22,0.28,0.17,6.56,5.11,0.54,-0.47,-0.48,-0.51,0.26,-0.5,0.54,-0.53,-0.42,-0.39,-0.24,0.48,0.47,-0.5,-0.09,-0.087
Max Junga,6,60,32,4,4,0,3,6,7,87.5,259,176,83,53.13,1,1,0,0,0,3,75.00,0,1,59,52,radicals,2025,12.5,0.0,12.5,0.22,5.0,0.1,6.0,3.0,8.0,3.12,3.12,37.0,192.0,2.0,0.49,0.16,8.49,0.84,0.32,0.92,0.95,0.57,5.43,3.05,3.3,2.23,2.32,0.63,-0.51,2.19,-1.15,2.48,2.0,2.22,-1.05,0.16,0.31,2.18,-0.17,-0.088
Kaden Froebe,5,65,41,5,0,5,3,8,5,83.33,147,1,146,53.66,1,0,0,0,0,0,--,0,8,57,79,shred,2025,0.0,12.2,12.2,0.12,4.62,0.12,0.0,4.0,4.0,2.44,0.0,29.4,214.0,1.63,0.39,0.17,4.39,0.67,0.22,0.65,0.87,0.43,0.57,3.83,2.49,1.55,1.56,0.79,-1.51,1.46,-1.4,1.32,1.71,1.3,-0.74,-1.24,0.37,1.36,-0.15,-0.091
Lukas Ambrose,9,218,143,19,4,15,13,24,86,91.49,1507,433,1074,51.05,11,7,0,1,0,1,50.00,71,43,175,228,cascades,2025,2.8,10.49,13.29,0.6,5.96,0.11,3.0,8.0,11.0,7.69,4.9,17.52,177.0,0.6,0.19,0.16,10.55,0.28,0.61,0.23,0.34,0.18,3.09,7.46,0.69,-0.34,0.05,0.63,-0.01,-0.24,-0.4,-0.48,-0.2,-0.33,0.68,-0.51,0.09,0.09,-0.08,-0.091
Dan Vockeroth,5,123,140,14,7,7,6,12,96,92.31,1568,559,1009,32.14,6,6,0,2,0,3,50.00,1,94,29,145,bighorns,2025,5.0,5.0,10.0,0.69,4.88,0.1,4.0,7.0,11.0,4.29,4.29,16.33,142.0,0.58,0.14,0.08,11.19,0.25,0.7,0.26,0.29,0.18,4.03,7.17,0.7,-0.37,-0.33,-0.67,0.14,-0.37,-0.17,-0.35,-0.38,-0.33,0.57,-0.24,-1.9,-0.04,-0.09,-0.091
Paul Hooley,10,118,84,12,7,5,3,10,69,90.79,943,571,372,39.29,4,5,0,0,0,1,50.00,50,16,102,149,royal,2025,8.33,5.95,14.29,0.82,2.54,0.08,7.0,4.0,11.0,4.76,5.95,13.67,172.0,0.92,0.2,0.11,11.21,0.38,0.83,0.42,0.45,0.28,6.7,4.52,1.11,0.25,0.12,-0.18,0.15,0.2,0.16,0.33,0.2,0.33,-0.47,0.52,-1.15,-0.32,-0.1,-0.093
Stefan McCall,9,146,108,16,11,5,9,18,93,93.94,1022,397,625,51.85,3,5,0,2,0,3,60.00,0,11,135,180,spiders,2025,10.19,4.63,14.81,0.86,6.16,0.12,4.0,6.0,9.0,2.78,4.63,10.99,204.0,0.76,0.21,0.16,9.53,0.29,0.87,0.36,0.35,0.22,3.73,5.8,0.85,-0.04,0.2,0.63,-0.26,-0.19,0.26,0.08,-0.16,-0.07,0.03,-0.33,0.18,-0.61,-0.1,-0.094
Oliver Chartock,11,210,242,28,16,12,3,19,149,93.13,2689,945,1744,54.13,14,11,0,1,0,3,100.00,0,195,15,237,empire,2025,6.61,4.96,11.57,0.62,1.43,0.09,4.0,7.0,11.0,5.79,4.55,18.05,213.0,0.4,0.07,0.08,11.11,0.18,0.62,0.19,0.19,0.13,3.93,7.18,0.42,-0.71,-0.86,-0.67,0.12,-0.67,-0.38,-0.65,-0.74,-0.65,0.57,-0.27,0.42,0.15,-0.1,-0.105
